Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	9	1.3333333333333335	0.0015831842762065293	C4B, C3, VTN, C7, C9, TFPI, KNG1, CFB, SERPINA5	223	86	8644	4.0565230993847115	0.36033568750605915	0.4464579658902413	0.4464579658902413
KEGG_PATHWAY	hsa05032:Morphine addiction	8	1.1851851851851851	0.008745950201837775	PDE10A, PDE3A, CACNA1B, GNAS, ARRB2, OPRM1, GABRD, ADCY5	223	91	8644	3.4076775242694524	0.9160225173289112	0.8900793464827094	0.8900793464827094
KEGG_PATHWAY	hsa03460:Fanconi anemia pathway	6	0.8888888888888888	0.012160829490907823	FANCI, SLX4, REV3L, PALB2, FAN1, FAAP100	223	54	8644	4.306925759840558	0.9682663110162891	0.8900793464827094	0.8900793464827094
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	8	1.1851851851851851	0.013556378560417796	IL4R, THPO, CD8A, CD19, CD24, MS4A1, HLA-DOB, GP5	223	99	8644	3.1323096435204056	0.9786999887361867	0.8900793464827094	0.8900793464827094
KEGG_PATHWAY	hsa05340:Primary immunodeficiency	5	0.7407407407407408	0.01578154869650194	PTPRC, AIRE, CD8A, CD19, ORAI1	223	38	8644	5.1003068208638185	0.9887331185949021	0.8900793464827094	0.8900793464827094
KEGG_PATHWAY	hsa05321:Inflammatory bowel disease	6	0.8888888888888888	0.02535848620143104	IL4R, MAF, IFNGR1, RORA, HLA-DOB, IL18R1	223	65	8644	3.5780614004829254	0.9992850701682086	1.0	1.0
KEGG_PATHWAY	hsa04976:Bile secretion	7	1.037037037037037	0.02665136583819471	SCARB1, ABCG5, ABCB1, GNAS, ATP1B3, UGT1A6, ADCY5	223	89	8644	3.0487227288759007	0.9995083053184154	1.0	1.0
KEGG_PATHWAY	hsa04913:Ovarian steroidogenesis	5	0.7407407407407408	0.041360417415278315	SCARB1, HSD17B1, GNAS, IGF1R, ADCY5	223	51	8644	3.8002286116240214	0.9999932886369542	1.0	1.0
KEGG_PATHWAY	hsa04923:Regulation of lipolysis in adipocytes	5	0.7407407407407408	0.061261851866717607	LIPE, GNAS, IRS2, ADRB2, ADCY5	223	58	8644	3.341580330910778	0.9999999819057879	1.0	1.0
KEGG_PATHWAY	hsa05171:Coronavirus disease - COVID-19	11	1.6296296296296295	0.0756309041229707	C4B, IFIH1, RPL4, C3, ACE2, C7, C9, MX1, RPS10, CFB, TNFRSF1A	223	232	8644	1.8378691820009279	0.999999999766435	1.0	1.0
KEGG_PATHWAY	hsa04520:Adherens junction	6	0.8888888888888888	0.0907138041136092	TJP1, HEG1, PTPRJ, LMO7, SSX2IP, IGF1R	223	93	8644	2.500795602488066	0.9999999999977428	1.0	1.0
KEGG_PATHWAY	hsa04975:Fat digestion and absorption	4	0.5925925925925926	0.09761571205138116	SCARB1, ABCG5, DGAT2, PLA2G3	223	43	8644	3.605798310564188	0.9999999999997368	1.0	1.0
