baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AKIRIN2	723.315913269445	-0.46397955144374	0.121556767478235	-3.81697836384811	0.000135096011832225	0.0261233871451289
ARK2C	1533.00458791048	-0.653520009129508	0.180928263276209	-3.6120393646394	0.000303798435096522	0.0439337049794022
ARPC2	2644.30830602384	-0.352280331883989	0.0961926056050068	-3.6622392092231	0.000250020228807899	0.0394279473449195
ASPHD1	1806.17831621201	-0.679652084695079	0.190966334309652	-3.55901519056769	0.000372248003412391	0.0495608550772744
ATP6V0B	4133.21754276188	-0.41186228749128	0.106523449589661	-3.86640020650678	0.000110453630144222	0.0220653250944422
B4GALT2	1068.23980376745	-0.675731473173295	0.173243831891812	-3.90046482921989	9.600817360381e-05	0.0210737941060363
BAG2	115.591293237631	-0.740731359697712	0.16901518393439	-4.38263203609716	1.17254059286265e-05	0.00689154425753648
COCH	382.021867314075	-0.848914013854328	0.194164887741218	-4.37212939852316	1.23040561145452e-05	0.00689154425753648
COL11A1	36.698795435278	-1.43707715253582	0.380015989570581	-3.78162285792164	0.000155809292688558	0.0278111026498929
CRLS1	362.422883585025	-0.924654416659792	0.251536928770912	-3.67601855193964	0.000236902302535721	0.0377255303930169
DDIT4	1684.69694902295	-1.00871401710261	0.2464525315807	-4.09293428893956	4.2594845899079e-05	0.0138373616387748
DPH3	1065.02710020052	-0.638800435727328	0.149497367503548	-4.27298785520199	1.92870965705682e-05	0.00859521774001802
EIF4EBP3	274.848458699061	-0.662484650695214	0.183959029474302	-3.60126193635827	0.000316676320827874	0.0451208199930452
FKBP14	75.4259192068362	-1.06167700076206	0.252512535004928	-4.20445266505814	2.61714700099143e-05	0.00982661817563816
FLOT2	1977.37171283908	-0.551248988100624	0.125722639055528	-4.38464378604996	1.16175726221702e-05	0.00689154425753648
FRMD3	158.147930329082	-0.760183094209793	0.172410354988188	-4.40914986957643	1.03777192268302e-05	0.00689154425753648
GALNT18	994.278943586769	-0.580517564956023	0.160104976220885	-3.62585585194507	0.00028800598701032	0.0433155671019317
GIMAP6	108.074315304798	-1.25921970103074	0.266482266213332	-4.72534146051833	2.2972900500815e-06	0.00261245355346677
GPR153	759.37800761078	-0.893752487736988	0.221360487304772	-4.03754300787411	5.40139445932812e-05	0.0143827623283388
HRK	245.984618391164	-1.30545519049684	0.3230873704884	-4.04056397662164	5.3322815913307e-05	0.0143827623283388
KLHDC8A	350.799781788096	-0.932671516215219	0.215891112300024	-4.32010149134386	1.55957456827346e-05	0.00767641506438356
KLHL3	1476.24977264124	-0.683944944389141	0.176989116153105	-3.86433335142198	0.000111393009773087	0.0220653250944422
KMT5A	563.709454732547	-0.618968430510034	0.163124039055599	-3.79446483849671	0.000147962247181171	0.0277938900088941
LIMS2	310.988375189577	-0.82323393409753	0.187083254827912	-4.40036140516573	1.08070734667083e-05	0.00689154425753648
LOC101541473	113.490699533154	-0.929927516321157	0.230245325067343	-4.03885514743532	5.3712720806626e-05	0.0143827623283388
LOC101551538	17.2623160424061	-3.77913831298225	0.677968947172017	-5.57420561626902	2.48661902263913e-08	7.59874994847459e-05
LOC129399982	722.864054093389	-4.956626012929	1.21659903592469	-4.07416565899353	4.61796027553461e-05	0.0140875801580046
LOC129405096	390.305880014942	-0.498828609560717	0.12467859260448	-4.0009162691077	6.30976835769815e-05	0.0160139949115767
LOC129405748	16.234985727617	-4.31223708240288	1.08730278766114	-3.96599469010724	7.30904894322146e-05	0.0171933999649776
MARK3	1738.34148634087	-0.417950537971174	0.0901883776492702	-4.63419510212862	3.58328931560188e-06	0.0030633351764906
NFKBIA	330.003717021871	-1.53987597439293	0.299835956414154	-5.13572819220503	2.81053621125534e-07	0.000570644245992757
PPP1R3C	1387.60926913377	-0.696417350167485	0.194094816200133	-3.5880265315762	0.000333190391306821	0.046638751984313
PRR29	67.5474675773612	-1.23778966555326	0.318206295953751	-3.88989684142884	0.000100286844476268	0.0217194561977069
PSRC1	100.501064841339	-1.48878540593929	0.364546832304429	-4.08393455657852	4.42795059380367e-05	0.0140875801580046
RAB4B	1242.75102921461	-0.363428083888208	0.0845948511425584	-4.29610170098606	1.73827858591051e-05	0.00806710259169842
RCN3	68.3991255087863	-1.22699411455682	0.283585736349956	-4.3267130792596	1.5135090399016e-05	0.00767641506438356
RIN2	584.647465888759	-0.759493219071329	0.180741447420313	-4.20209769209788	2.64452955501045e-05	0.00982661817563816
SLC41A3	119.985713466329	-1.33236183215726	0.318200093060812	-4.18718240884559	2.82438829482844e-05	0.0100941589618964
STARD8	67.8218476435908	-1.17222763677	0.323160401521239	-3.62738637299583	0.000286304703454116	0.0433155671019317
STMN2	6637.35508272183	-0.495932945027258	0.128092243079643	-3.87168600614563	0.000108085130197381	0.0220653250944422
TCIM	49.2320378308481	-1.606374534513	0.369419501052453	-4.34837503146568	1.37149931651905e-05	0.00718621399942545
TIPARP	643.44134032535	-1.59686980864564	0.339598500345884	-4.70222868186761	2.57337048916261e-06	0.00261245355346677
TP53INP1	583.288515975431	-1.05310889523949	0.218111391868744	-4.82830761940777	1.37698270254804e-06	0.00223039845461492
TSC22D3	2304.57833918344	-0.669219200531697	0.160411480069356	-4.17189094098721	3.02082222942724e-05	0.0102496162175973
TSPAN6	162.568296179204	-1.19992001076076	0.29475633930518	-4.0708878851912	4.6834287294973e-05	0.0140875801580046
ZFP36	115.610218542107	-1.08633233886834	0.288136059178994	-3.77020613790479	0.000163112763774283	0.0287982676302791
