Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	162.251259279032	-0.43041181572399	0.332469282447452	-1.29459122525708	0.195461280981761	0.684891159913696
A1CF	2.39612270648858	-0.599568995731135	1.10435066479033	-0.542915411605217	0.587188044284614	0.890374850944267
A2ML1	45.5718620845702	-0.666027853295919	0.578619537979676	-1.15106353930156	0.249706096495269	0.733847679640431
A3GALT2	0.577043340436675	0.456807958064447	3.16881300672245	0.144157435953259	0.885376150985222	NA
A4GALT	25.1843076458924	-0.480370939086373	0.468710399587378	-1.02487791930638	0.305420794486084	0.771792692153201
A4GNT	0.702308559108658	0.267490720613525	1.9968443102129	0.133956723238481	0.89343679577256	NA
AAAS	166.614080261065	0.238714412394834	0.249709442419306	0.955968705396372	0.339088045414896	0.787056584160462
AACS	1380.37402287592	0.109964322846591	0.179524316332061	0.612531634116872	0.540186074835338	0.87025791917646
AADAC	4.31581052766077	-1.68411337692969	0.845922838314559	-1.99085933214094	0.0464963542632394	0.426065768427618
AADAT	107.503440957696	0.478059303281393	0.21437690476472	2.22999442876585	0.0257478127417102	0.34219642143881
AAGAB	2970.01682062858	-0.351440320176292	0.145984557430231	-2.40738011172347	0.0160674367116124	0.283062228315314
AAK1	3627.05972137032	-0.138901974150012	0.241204138435668	-0.575868950884765	0.564703763760384	0.880273118264197
AAMDC	268.366789978318	-0.258021907134506	0.162304176058046	-1.58974287292662	0.111892775493171	0.577390127009573
AAMP	1856.99680529298	-0.126404400302405	0.166629890653859	-0.758593790144085	0.448095588561898	0.834872292384826
AAR2	812.160276563245	-0.0585559244796211	0.180885022991703	-0.323719031632082	0.746150760931215	0.939649439787709
AARS1	4413.63089465204	0.153989584426306	0.125866825746966	1.22343265203077	0.221166326985733	0.708700858005378
AARS2	468.421253865541	0.0728799525495547	0.191091674573646	0.381387377090921	0.702915826128363	0.929411735927936
AARSD1	637.900371374361	0.0707523456973346	0.139201975613427	0.508271131825158	0.611263212288615	0.901254179929049
AASDH	353.645395616251	0.203495417999514	0.236416685261027	0.860748968605301	0.389376316649191	0.811087001041483
AASDHPPT	3367.15409359596	0.0573618617263233	0.230707432911198	0.248634649532088	0.80364340351985	0.955536183542415
AASS	36.4080168814529	-0.380851726196399	0.481220198554126	-0.791429219597818	0.428693564594125	0.827012910845727
