sample_HFS146-resub	sample_HFS147	sample_HFS148	sample_HFS149	sample_HFS150	sample_HFS191	sample_HFS192	sample_HFS193	sample_HFS194	sample_HFS258	sample_HFS259	sample_HFS260	sample_HFS261	sample_HFS262	sample_HFS298	sample_HFS299	sample_HFS300	sample_HFS301	sample_HFS302	sample_HFS338	sample_HFS339	sample_HFS340	sample_HFS341	sample_HFS342-resub
A1BG	10.87629	19.09435	13.81118	20.27927	26.67866	19.1095	15.08521	21.32871	25.31852	10.92615	7.25311	7.83059	6.745988	7.31817	24.40465	14.8773	12.6023	10.13928	12.1251	7.52441	19.938	13.42787	6.60377	7.38532
A1CF	0.165477	0.328219	0.253389	0.089779	0.262506	0.252087	0.0852804	0.342504	0.39667	0.08332	0	0.0826607	0	0.156284	0.402205	0.0823363	0.0803643	0.0695779	0.422704	0	0.72485	0.131755	0.0665285	0.0534843
A2ML1	4.6041	3.1638	1.32105	1.37221	2.0678	1.21805	1.13929	1.34106	1.30229	0.318291	1.70075	0.393552	2.29911	0.26882	1.5058	2.5712	0.833742	0.637322	0.511421	0.561604	0.498138	0.554443	0.939829	1.49554
A3GALT2	0.162946	0	0	0	0	0.167075	0.508192	0	0	0	0	0	0	0	0	0	0.63185	0	0.139724	0.438233	0	0	0.132091	0
A4GALT	5.0406	1.48183	2.69987	3.98864	1.46011	1.86858	2.96198	2.02131	3.8573	1.61974	2.81478	3.14048	2.01517	3.47088	2.90407	3.75135	1.22304	2.12674	1.56507	4.70041	2.11442	1.73647	3.14199	3.4105
A4GNT	0	0	0.182077	0.192945	0	0.181157	0.183644	0.184118	0	0	0.172187	0	0.329108	0.503483	0	0.348148	0	0	0.302871	0	0	0	0.143189	0.114423
AAAS	12.8289	13.2616	15.2903	15.4756	14.6164	13.2198	14.0589	9.3174	9.6592	10.1436	15.7173	18.5266	11.676	13.4691	12.2197	12.4934	16.6982	9.29627	17.4571	19.1004	15.9322	18.521	15.1964	11.6358
AACS	58.5813	59.8103	55.4056	75.255	70.1795	60.1785	72.7902	74.1031	54.656	58.7616	84.8436	84.7194	71.821	64.8863	67.3674	88.4023	79.6519	58.7156	76.9725	71.3042	66.7243	57.4291	56.1007	78.9655
AADAC	0.383538	0.831697	0.132558	0.34111	0.401931	1.00841	0.470145	1.08457	0.402063	0.422139	0.308725	0.721333	0.193432	0.197901	0.349484	0.207759	0.203073	0.352654	0.267685	0	1.01017	0.58373	0.168572	0.202997
AADAT	4.6995	9.61508	8.89119	8.23868	8.33923	6.046297	8.01924	5.777201	7.076575	9.07769	5.642963	6.431657	6.813534	7.85297	10.40638	6.31096	9.08634	8.22637	10.72437	8.36917	8.602289	7.450883	5.4738	7.11938
AAGAB	188.0028	206.977	186.1462	179.865	146.5932	151.232	155.8215	143.6317	136.4469	111.8068	139.4075	122.50764	144.9603	174.1861	125.6067	128.7654	117.0269	151.9231	113.5082	115.7048	110.548309	130.0719	142.0893	95.9786
AAK1	31.8508	43.6226	46.0839	41.5779	39.6614	50.2223	45.4372	39.3086	46.3692	30.7997	34.5676	24.885	50.3516	50.8399	50.8139	42.5788	31.5216	59.5334	30.4206	25.72	38.6645	42.1948	48.402	31.3154
AAMDC	76.26489	74.579077	75.41738	75.742758	71.20109	60.88015	69.57897	64.81225	80.17341	55.05847	57.87228	52.39099	67.5281	63.752291	72.50275	60.07087	78.76024	47.02373	53.44803	71.52153	50.7602	78.99477	80.077103	63.11965
AAMP	151.08383	164.08395	139.26769	144.38959	145.9524	133.29829	139.07154	146.4078	158.9728	153.9523	164.48901	239.9555	137.55024	151.26906	134.57641	149.40372	155.3125	144.8214	150.2848	157.38525	140.72094	169.83463	145.37909	154.70818
AAR2	37.8167	34.7014	40.9008	44.2021	36.9147	28.8827	32.2476	37.8197	39.173	27.1173	37.394	49.2818	33.667	36.846	37.8223	42.324	38.5909	37.4215	28.9506	34.312	37.0994	44.9537	30.8433	35.9677
AARS1	163.811	180.93	199.206	185.989	191.177	172.425	172.76	151.91	167.525	145.258	216.651	134.125	181.813	192.77	195.631	214.663	170.365	205.006	178.543	171.393	168.577	183.195	160.971	159.522
AARS2	23.7896	18.3987	17.9614	18.3799	17.0225	15.7152	22.1436	16.3575	16.5333	19.1464	24.0999	28.9908	16.6401	21.7621	19.9783	18.8672	24.6257	20.9874	17.6138	18.0982	18.1129	21.6693	21.5614	20.4758
