baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CD24	61.6153061066472	-1.81754340275491	0.363583552034232	-4.99897036756984	5.76372586686274e-07	0.000653233566334379
CHRNA2	8.82410477753656	-3.25555212883136	0.796139338667031	-4.08917380503029	4.32912391513339e-05	0.0170222919332398
CLDN5	706.533270993486	-0.948719926682346	0.24616629563037	-3.85397978327176	0.000116213195608512	0.0319868519969885
CRLS1	484.586565595644	-0.787253713594397	0.162107456204277	-4.85636954664413	1.19557483600858e-06	0.00121237580870407
DDIT4	1605.808886021	-1.06665346729366	0.271231513100879	-3.93263103943581	8.40211503449843e-05	0.0256958016459811
DENND11	3473.46090662781	-0.472968170734671	0.11751503527031	-4.02474602204512	5.70368384178265e-05	0.0203505326999308
DRAXIN	33.78525598273	-2.92885966650841	0.700012282756821	-4.18401182186953	2.86409206549529e-05	0.0128331306571855
F2RL1	38.585404472981	-1.78455400505703	0.450453018540835	-3.96168730501082	7.44219660782507e-05	0.0238981336738276
ITGA6	124.8800640605	-0.918103752799139	0.223562802416893	-4.10669280789873	4.0136444658952e-05	0.0164533804094474
LOC101538210	1137.3170406549	-0.516493055895881	0.115040276110491	-4.48967155989622	7.13330757973807e-06	0.00458124790462711
LOC101551538	11.4019730939064	-5.6768665097707	1.09908456914924	-5.16508617181749	2.40328178149694e-07	0.00030869353389401
LOC129399982	858.591238291817	-5.54737904660945	1.22953527970325	-4.51176890828891	6.42892104920619e-06	0.00427693345260048
LOC129406557	0.843766237292698	-22.9427081337262	4.19300031601285	-5.47166859160711	4.45817947822273e-08	7.80870400062885e-05
MANF	549.917787792817	-0.747356357788864	0.168469762000932	-4.43614538842128	9.15840051809387e-06	0.0051898500818269
NFKBIA	320.303310041425	-1.34576496224075	0.29578955196169	-4.54973799214871	5.37127534473349e-06	0.00383290229877704
PRR29	54.5842527027843	-1.46327294572508	0.320489766692881	-4.56573999483517	4.97735383554218e-06	0.00374177041401412
RGCC	599.696313630563	-0.99972615541429	0.250580780441996	-3.98963621092921	6.61747095454417e-05	0.0223682127861759
RGS2	215.618645632176	-1.1126540847624	0.249217789071366	-4.46458532879363	8.02239725469986e-06	0.00486773657654744
RIN2	646.785725690198	-0.663510173180823	0.153910660363791	-4.31100855270529	1.62511619030186e-05	0.00823976674698577
SIM1	0.595091770003118	-24.5458722013376	5.28781118694326	-4.64197213810256	3.4509940416653e-06	0.0028908827043811
STMN2	5860.62616125279	-0.64132024887003	0.162650286071326	-3.94293956906289	8.04889419777081e-05	0.0250578407501765
TIPARP	699.810799645443	-1.69984407193085	0.304532344922709	-5.5818178274701	2.38017615275604e-08	5.09542821501675e-05
TP53INP1	537.456623395684	-1.23741341346638	0.256498597045478	-4.82425022093583	1.40530905028475e-06	0.00135380447359181
UMPS	572.443331813197	-0.523472141934181	0.140071751227582	-3.73717139499219	0.000186102070561175	0.0465666051104175
ZFAND3	1439.79421949532	-0.335807216463473	0.0793357534311808	-4.23273495164783	2.30866525675828e-05	0.0108490374395029
