Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	122.798493061477	0.648267817378954	0.276915188082881	2.34103380846314	0.0192304256243808	0.398500828720741
A1CF	1.15459474015189	1.99053117789325	1.71265361679949	1.16224971492662	0.245134045823154	0.893216109313824
A2ML1	35.3815124785162	0.284681650038247	0.744126115780074	0.382571776478793	0.702037300150147	1
A3GALT2	0.502314049662009	1.10157269162647	2.32356845663939	0.474086609533207	0.635438146971525	1
A4GALT	16.9636150862719	0.391044209626425	0.512103328555749	0.763604116242051	0.445103195562952	0.985837828360892
A4GNT	0.566636613320472	0.669372548722234	2.87208557980313	0.233061491422591	0.815713656932819	1
AAAS	193.847817336369	0.299071192376792	0.191384628561963	1.56267091366726	0.118130019181463	0.737730192140246
AACS	1087.0286158074	-0.0474490860930439	0.13551070596439	-0.350150091502826	0.726226059832578	1
AADAC	2.70398511666203	0.835180082484655	0.992476833150143	0.841510909462517	0.400061775967442	0.973063217533773
AADAT	113.581606624007	0.0517619968644359	0.205868944046921	0.251431788821137	0.801480292983735	1
AAGAB	2455.70779851929	-0.162434656965032	0.14072323243748	-1.15428457797257	0.248383517092455	0.896041364250127
AAK1	3773.59505132727	0.0134372488947394	0.115035027363233	0.116810063880023	0.907010568528632	1
AAMDC	210.895786182938	0.0417042142572117	0.143378644296929	0.290867684387117	0.771152517352874	1
AAMP	1976.67838980185	0.0167260151757913	0.124476397139622	0.134370977632251	0.89310922997818	1
AAR2	829.912904154223	0.109541353008805	0.129034120792174	0.84893323049983	0.395918446704287	0.971831912871902
AARS1	4184.33361706299	0.11922976695587	0.113190767593436	1.05335240223942	0.292179510375872	0.930128293979558
AARS2	439.663911784772	-0.114139946912208	0.13447145289105	-0.84880429606636	0.395990199266623	0.971831912871902
AARSD1	656.382561579779	0.0131810774615886	0.126252707910012	0.104402334649199	0.916850070026781	1
AASDH	374.4635038754	0.149036637549705	0.237602004038468	0.627253284974715	0.530493219855313	1
AASDHPPT	3067.80651903051	0.161768281585395	0.235885396282887	0.68579184695009	0.492844378324672	0.999437156882589
AASS	26.2408846136582	0.677145305224639	0.500154205000283	1.35387306245732	0.175776878922593	0.823642555002354
AATF	452.841563862217	0.00813992367946826	0.193179622763183	0.0421365543789622	0.96638983985591	1
AATK	2463.76746672438	0.258883521762384	0.177560379012014	1.45800275491002	0.144839783664503	0.776713734720315
ABAT	3556.44842802276	0.222090575577062	0.139706354934371	1.58969558458091	0.111903439443325	0.72472052697632
ABCA1	1415.65334584449	0.0783940727171405	0.1815105917385	0.431898061519639	0.665815503729257	1
ABCA12	2.80232700269942	2.9777162803984	1.73165669939696	1.71957656586053	0.0855094389152886	0.681937569582025
ABCA13	2.29625017953994	0.221170653839925	1.55953398151425	0.141818425543492	0.887223429694139	1
ABCA2	3286.08516641937	0.221042886630289	0.111524264845102	1.98201608356083	0.0474774405733713	0.572868581745116
ABCA3	2547.38937041186	0.0151011348533594	0.132649054699481	0.113842762676081	0.909362439216162	1
ABCA4	14.0541148072492	-0.983911207937081	0.510696363310623	-1.92660703819939	0.0540286208650594	0.597571434102813
ABCA5	548.228602916418	0.396697089809763	0.248875025597464	1.59396102062643	0.110944765682177	0.723211126150175
ABCA6	19.1407686989838	0.0474873056660595	0.593346295066724	0.0800330364592896	0.936210980940824	1
ABCA7	179.516411348269	-0.131001289925864	0.174982822621759	-0.748652284624731	0.454066809966086	0.98788781316968
ABCA9	40.1436053112889	-0.0802115320151092	0.512395195751718	-0.15654231866369	0.875605564918763	1
ABCB1	270.636832716531	0.0226878940291011	0.209397636963649	0.10834837660102	0.91371934947349	1
ABCB10	442.396827473483	-0.0693318807583475	0.164080965119612	-0.422546763470131	0.672625975108102	1
ABCB11	8.0895613300894	1.81221805040301	0.636588571216603	2.846764978736	0.00441659554502919	0.243823915089047
ABCB5	0.0494856219171783	-0.466148188168625	5.37058238825882	-0.086796580793122	0.930833205500169	NA
ABCB6	825.381715400234	0.0771397221687934	0.13491070274503	0.571783562009764	0.567468614950052	1
ABCB7	561.295017711726	0.112548126014376	0.109636079684665	1.02656102204755	0.304627215817729	0.933559010873647
ABCB8	561.97589665014	-0.0111160404723427	0.160562635611474	-0.069231801222054	0.944805110113168	1
ABCB9	1024.02071586622	0.0104928127311239	0.165421337852122	0.0634308298274311	0.949423438021778	1
ABCC1	126.315879314901	0.328482020812653	0.275293771452067	1.19320542226596	0.232788931622275	0.884261107454174
ABCC10	408.902724305719	0.179967200486473	0.149735545758978	1.201900320824	0.229402150137643	0.880310447593306
ABCC11	0.149992260098626	0.826414499039011	5.36907666100008	0.153921158370102	0.877671900941426	1
ABCC2	11.4908105299307	0.86810037710082	0.635498241973413	1.36601538724184	0.171934133813188	0.816910109114027
ABCC3	2.47756244319691	0.1084570601446	1.2236155397381	0.0886365501436948	0.929370759577284	1
ABCC4	9.38484860051333	0.625171496729597	0.628387887112013	0.994881520716133	0.319793891466632	0.940357606852685
ABCC5	924.484894832563	0.0522403400445162	0.150088158888079	0.348064367179505	0.727791843980661	1
ABCC6	33.0415645703694	3.58791176722514	1.17553944102649	3.0521406955875	0.00227215572543424	0.181652465882675
ABCC8	1100.618648539	0.0140482699078266	0.208036699246394	0.0675278446481607	0.946161495788113	1
ABCC9	76.575236016283	0.263764388335549	0.290594119002959	0.907672836740592	0.364051099366671	0.959802732804829
ABCD1	103.242414374217	0.549722814487067	0.241253545958068	2.2786102989865	0.0226902411795985	0.431333948496146
ABCD2	1060.94637853945	-0.379280381652943	0.139599059380246	-2.71692648458213	0.00658912416476343	0.27598403322282
ABCD4	169.972122381121	0.218504129502508	0.275482451297421	0.793168960394515	0.427679389252334	0.981623607399237
ABCE1	1086.38304251326	-0.0467871710415978	0.174380629164681	-0.268304864282907	0.788464662294139	1
ABCF1	1722.22033599694	0.0867673884457516	0.0901239928060575	0.962755707378288	0.335670133263024	0.946588831582724
ABCF2	1705.86442343806	0.0217589805567774	0.0910625790581935	0.238945358036393	0.81114795342996	1
ABCF3	1842.57156553736	-0.0302443333663109	0.0882673165613519	-0.34264475849664	0.731865725749819	1
ABCG1	1157.24289927695	0.395997535751286	0.142311788824836	2.78260528534778	0.00539243658687009	0.257806639501802
ABCG2	209.089597893878	-0.0433795505370291	0.174371283435011	-0.248776918323233	0.803533346397312	1
ABCG4	1399.51792475882	-0.00525975992382549	0.111517850370413	-0.0471651839266528	0.962381575827238	1
ABCG5	2.24935241060201	1.19842297725697	1.14548147315047	1.04621768692678	0.295460538723559	0.931243300083629
ABCG8	1.40356423823656	0.525244458318518	1.38229800162139	0.379979177935888	0.703960871592565	1
ABHD1	0.651866323403146	-1.76920203232921	2.37467416941646	-0.745029383447568	0.456253956900542	0.98788781316968
ABHD10	315.505767710983	-0.121036197526589	0.267016174453572	-0.45329163214281	0.65033875752722	1
ABHD11	216.173820156982	-0.107283527677593	0.226252511435664	-0.47417607431995	0.635374353332342	1
ABHD12	2197.2629250127	-0.185504812163238	0.130181004138366	-1.42497604309512	0.154164126324021	0.792074725835979
ABHD12B	14.9097892772308	0.599488491357352	0.537406315952428	1.11552185666984	0.264626857630941	0.913297238290097
ABHD13	782.456410376977	-0.0735331984958341	0.188055673337539	-0.391018240453987	0.69578375317057	1
ABHD14A	2558.23842086123	-0.0385464324172432	0.108288950886044	-0.355959053087576	0.721871230254649	1
ABHD14B	91.9812356803759	-0.199409565380493	0.20765388997549	-0.960297759912082	0.336905377158675	0.947703194848367
ABHD15	2.02630746979716	0.0222385671922792	1.4392205092485	0.0154518137070539	0.987671726988783	1
ABHD16A	1868.14251381652	-0.065645455421813	0.0718678302212226	-0.913419192144023	0.36102211551446	0.959684342949965
ABHD16B	26.0290728570712	0.574865074470204	0.433379358300012	1.32647082391093	0.184683793038324	0.830018235333257
ABHD17A	1842.96728952718	-0.0727854168634527	0.16949017831351	-0.429437372641262	0.667604961125294	1
ABHD17B	496.5777471056	0.0836624465858572	0.199475475979861	0.419412191773909	0.674914915489538	1
ABHD17C	138.511491178698	-0.11107120688902	0.233540071110871	-0.475598069148015	0.634360751243394	1
ABHD18	1384.86039246194	-0.210395984006144	0.123940048326847	-1.69756254613763	0.0895903568453343	0.688114079279403
ABHD2	5282.22932613143	0.23216406327638	0.136129791619005	1.70546109352868	0.0881084625403179	0.68491121736285
ABHD3	1363.16074787231	-0.115536261639609	0.170795297549435	-0.676460437127484	0.498748356564231	1
ABHD4	460.446438962068	-0.177855019903163	0.164328741719576	-1.08231230910701	0.279113778314092	0.921959130335382
ABHD5	86.5688202896627	-0.215883446943285	0.285085708547704	-0.757258047213406	0.448895279787401	0.985878695919582
ABHD6	1247.41452075528	-0.0844117935014823	0.129374679973211	-0.652459921206848	0.514104519765311	1
ABHD8	2743.17804908429	-0.0630364187653439	0.114578205289716	-0.550160640114351	0.582209197364214	1
ABI1	2944.533614916	-0.00237728280460989	0.221967451354856	-0.0107100513615817	0.991454778737053	1
ABI2	2130.02944937649	-0.0103828959797969	0.167576448551268	-0.0619591599509305	0.950595355119298	1
ABI3	24.2410282923453	-0.429856791489145	0.370078229207946	-1.16152952960551	0.245426621534994	0.893216109313824
ABI3BP	228.461173832576	0.152829283773351	0.394801187613924	0.38710441753484	0.698678907364824	1
ABITRAM	306.86523376962	7.17787290854296e-05	0.128918686099978	0.000556775214337542	0.999555757675595	1
ABL1	754.342488482508	0.0589830166872854	0.132722158866335	0.44440971418109	0.656746391447109	1
ABL2	2548.21531479911	-0.206591410059046	0.1463775569592	-1.41135987203714	0.158138528797199	0.797660783644063
ABLIM1	398.222938569967	0.19887515757026	0.218108158933371	0.91181897340674	0.361864020735723	0.959802732804829
ABLIM2	2254.48765009002	0.140362307370779	0.192746104106333	0.72822383633417	0.466476576788287	0.991899812932338
ABLIM3	1022.8610822681	-0.00875860272777916	0.306727735631733	-0.0285549746903065	0.9772195224185	1
ABR	18384.4747353885	0.12732672574746	0.135415094074136	0.940269817172313	0.34707917750972	0.953947862065589
ABRA	48.1696142839466	0.669560766522741	0.436679138344005	1.53330147407976	0.125201591593938	0.750554739081608
ABRACL	244.972681149406	0.0322430216911794	0.201569943315581	0.159959471937239	0.872912999763991	1
ABRAXAS1	30.7430245764903	0.18062302041283	0.406715916928641	0.444101184376615	0.65696943022354	1
ABRAXAS2	313.514471158749	-0.293060400944217	0.113102074577057	-2.59111428362486	0.00956657162394747	0.314236051135542
ABT1	910.027782840217	-0.254410178660584	0.140409651946258	-1.81191374762441	0.069999524841152	0.649340801692092
ABTB1	371.508567892148	0.0125230884466551	0.187266319077539	0.066873148937529	0.946682689218278	1
ABTB2	37.8908957043833	0.678962515801977	0.431900733844745	1.57203371653923	0.115942732044674	0.735308959283983
ABTB3	148.55651960614	0.240280371249688	0.404578654639242	0.593902739292916	0.552577166773504	1
ACAA1	665.465209668149	0.0148885217931523	0.127124105306046	0.117118006512681	0.906766540800501	1
ACAA2	853.548166399542	0.118869920345739	0.131616094356774	0.903156418116436	0.366442884513242	0.961625586477342
ACACA	2528.792415585	0.475582668666392	0.189188262573771	2.51380641799037	0.0119435972560897	0.340914501234192
ACACB	295.474007668552	0.837799123467391	0.303811564456516	2.75762749507615	0.00582225036007259	0.26413265768169
ACAD10	229.528025369597	0.128827558210941	0.189836311920462	0.678624425999793	0.497375862063955	1
ACAD11	20.4433477027684	0.519251534229605	0.467183375272943	1.11145122389306	0.266374174049831	0.914198987495955
ACAD8	333.254966009798	-0.0778996913566748	0.161846044080787	-0.481319712193833	0.630289289236302	1
ACAD9	1069.17663689087	-0.165516934122979	0.0997434166496055	-1.6594271550215	0.0970297481291696	0.699701147538996
