sample_HFS156	sample_HFS157-resub	sample_HFS158	sample_HFS159	sample_HFS160	sample_HFS199	sample_HFS200	sample_HFS201	sample_HFS202	sample_HFS253	sample_HFS254	sample_HFS255	sample_HFS256	sample_HFS257	sample_HFS303	sample_HFS304	sample_HFS305	sample_HFS306	sample_HFS307	sample_HFS348	sample_HFS349	sample_HFS350	sample_HFS351	sample_HFS352
A1BG	5.569516	7.11366	12.24737	12.91423	12.13142	12.20866	9.14294	10.43344	11.17757	7.24851	7.90744	7.85791	7.51335	10.91403	14.82911	12.18988	20.63396	20.38788	12.39961	6.62679	8.30819	6.85963	12.05242	14.66464
A1CF	0	0	0	0.251583	0.0890463	0.186733	0.0947953	0	0.101506	0	0.176127	0	0.0745873	0.163184	0.314874	0.165785	0.280859	0.165438	0	0	0.109864	0	0.129567	0
A2ML1	3.73644	2.66083	0.559238	1.38158	1.42856	0.606127	1.15785	0.574111	0.851751	1.4991	0.606351	0.725119	1.87938	0.0312124	0.778324	1.48634	2.0521	0.852107	0.350224	0.691158	0.0829879	0.293989	1.12353	1.28007
A3GALT2	0.101443	0	0	0.165589	0	0.185319	0	0	0	0.323122	0	0.313707	0	0.161501	0.157293	0	0.183784	0.164426	0	0	0.221989	0	0	0
A4GALT	3.25281	1.63135	2.78206	3.13831	2.84406	1.29675	1.44869	1.11045	1.69305	1.68572	1.46616	0.878433	0.621663	2.60355	1.53466	1.61277	2.45974	2.64392	0.625811	2.15007	1.07562	2.01954	1.63282	4.40698
A4GNT	0.347873	0	0	0.35867	0	0	0	0	0	0.350836	0	0	0	0.17498	0	0	0	0	0.191371	0.435783	0	0	0.285623	0.266491
AAAS	23.1112	17.9683	20.5055	20.5019	21.4899	18.3083	21.9602	10.7773	11.8132	15.3832	17.9288	16.7843	11.5725	14.0624	16.038	16.2564	21.2646	16.4005	18.6452	17.3099	17.306	15.9441	15.8001	14.3774
AACS	68.5117	59.4273	63.1058	59.6208	53.1284	40.4485	58.749	68.9226	50.7193	51.8425	58.905	50.8866	63.6096	57.572	54.7279	57.1892	57.6009	53.0503	64.9915	51.05	54.3537	53.2427	51.1768	58.2336
AADAC	0.150888	0.106447	0.292809	0.636517	0.225585	0.175169	0	0.379949	0.257313	0.20476	0.557393	0.200325	0.283497	0.309852	0.299705	0.315159	0.56641	0.524154	0	0.170446	0.419539	0.282807	0.330111	0.154239
AADAT	6.815831	8.65406	8.25115	9.06348	9.54884	8.23641	7.54985	9.03768	7.87613	5.945695	8.27239	10.177877	7.57305	12.5522	10.77878	10.273592	9.00727	8.48921	7.287991	8.133824	7.71895	6.0415	8.09834	7.493188
