Sample_name	Run	Condition	Sex
HFS146-resub	Stage1	Cortex	Male
HFS147	Stage1	Cortex	Male
HFS148	Stage1	Cortex	Female
HFS149	Stage1	Cortex	Female
HFS150	Stage1	Cortex	Female
HFS191	Stage2	Cortex	Female
HFS192	Stage2	Cortex	Female
HFS193	Stage2	Cortex	Male
HFS194	Stage2	Cortex	Male
HFS258	Stage3	Cortex	Female
HFS259	Stage3	Cortex	Male
HFS260	Stage3	Cortex	Male
HFS261	Stage3	Cortex	Male
HFS262	Stage3	Cortex	Male
HFS298	Stage4	Cortex	Male
HFS299	Stage4	Cortex	Male
HFS300	Stage4	Cortex	Male
HFS301	Stage4	Cortex	Male
HFS302	Stage4	Cortex	Male
HFS338	Stage5	Cortex	Male
HFS339	Stage5	Cortex	Male
HFS340	Stage5	Cortex	Male
HFS341	Stage5	Cortex	Male
HFS342-resub	Stage5	Cortex	Male
