Sample_name	Run	Condition	Sex
HFS156	Stage1	Hippocampus	Male
HFS157-resub	Stage1	Hippocampus	Male
HFS158	Stage1	Hippocampus	Female
HFS159	Stage1	Hippocampus	Female
HFS160	Stage1	Hippocampus	Female
HFS199	Stage2	Hippocampus	Female
HFS200	Stage2	Hippocampus	Female
HFS201	Stage2	Hippocampus	Male
HFS202	Stage2	Hippocampus	Male
HFS253	Stage3	Hippocampus	Female
HFS254	Stage3	Hippocampus	Male
HFS255	Stage3	Hippocampus	Male
HFS256	Stage3	Hippocampus	Male
HFS257	Stage3	Hippocampus	Male
HFS303	Stage4	Hippocampus	Male
HFS304	Stage4	Hippocampus	Male
HFS305	Stage4	Hippocampus	Male
HFS306	Stage4	Hippocampus	Male
HFS307	Stage4	Hippocampus	Male
HFS348	Stage5	Hippocampus	Male
HFS349	Stage5	Hippocampus	Male
HFS350	Stage5	Hippocampus	Male
HFS351	Stage5	Hippocampus	Male
HFS352	Stage5	Hippocampus	Male
