Region_ID	Projection_ID
reg_1	ENST00000302539.10
reg_1	ENST00000646902.10
reg_1	ENST00000644772.10
reg_1	ENST00000643260.10
reg_1	ENST00000647015.10
reg_1	ENST00000389817.10
reg_1	ENST00000642271.10
reg_2	ENST00000609684.21
reg_3	ENST00000310331.21
reg_4	ENST00000527771.124
reg_5	ENST00000398978.459
reg_5	ENST00000520267.459
reg_5	ENST00000645393.459
reg_5	ENST00000398969.459
reg_5	ENST00000357811.459
reg_5	ENST00000522165.459
reg_5	ENST00000673842.459
reg_5	ENST00000517713.459
reg_5	ENST00000354547.459
reg_5	ENST00000674121.459
reg_5	ENST00000520133.459
reg_6	ENST00000379095.124
reg_7	ENST00000624896.8413
reg_7	ENST00000239450.21
reg_7	ENST00000341948.21
reg_8	ENST00000354445.19395
reg_8	ENST00000439013.19395
reg_8	ENST00000255688.19395
reg_9	ENST00000393165.5592
reg_9	ENST00000409875.5592
reg_9	ENST00000395595.70
reg_9	ENST00000395598.70
reg_9	ENST00000354869.70
reg_9	ENST00000393167.5592
reg_9	ENST00000395593.70
reg_9	ENST00000393166.5592
reg_9	ENST00000435118.70
reg_10	ENST00000534711.10
reg_10	ENST00000300022.10
reg_10	ENST00000562641.451607
reg_10	ENST00000524669.10
reg_10	ENST00000534810.10
reg_11	ENST00000525123.10
reg_11	ENST00000528244.10
reg_11	ENST00000357610.10
reg_12	ENST00000257832.10
reg_12	ENST00000312319.10
reg_12	ENST00000673820.10
reg_13	ENST00000358502.8702
reg_13	ENST00000397279.24159
reg_13	ENST00000422706.24159
reg_13	ENST00000397278.24159
reg_13	ENST00000352371.4939
reg_13	ENST00000332987.4939
reg_13	ENST00000616056.4939
reg_13	ENST00000249066.8702
reg_13	ENST00000349314.70
reg_13	ENST00000319136.24159
reg_13	ENST00000424878.70
reg_13	ENST00000426053.24159
reg_13	ENST00000451256.8702
reg_14	ENST00000404034.70
reg_14	ENST00000404760.70
reg_14	ENST00000216267.70
reg_14	ENST00000457780.70
reg_15	ENST00000395648.10
reg_15	ENST00000531928.10
reg_15	ENST00000308212.10
reg_15	ENST00000616990.10
reg_15	ENST00000533940.10
reg_15	ENST00000525680.10
reg_16	ENST00000542321.79
reg_16	ENST00000425933.79
reg_16	ENST00000329082.79
reg_16	ENST00000557301.79
reg_16	ENST00000543599.79
reg_17	ENST00000348655.178
reg_17	ENST00000330243.178
reg_17	ENST00000397570.178
reg_17	ENST00000525445.178
reg_17	ENST00000397566.178
reg_18	ENST00000329962.184
reg_19	ENST00000528950.10
reg_19	ENST00000533727.10
reg_19	ENST00000458649.10
reg_19	ENST00000534300.10
reg_19	ENST00000314845.10
reg_20	ENST00000396168.10
reg_20	ENST00000358540.10
reg_20	ENST00000396170.10
reg_21	ENST00000533783.10
reg_21	ENST00000649235.10
reg_21	ENST00000265968.10
reg_21	ENST00000647990.10
reg_22	ENST00000312562.10
reg_22	ENST00000531493.10
reg_23	ENST00000326742.1234648
reg_23	ENST00000402119.1234648
reg_23	ENST00000248041.1234648
reg_23	ENST00000620614.1234648
reg_24	ENST00000406938.70
reg_25	ENST00000621286.229606
reg_25	ENST00000619333.229606
reg_25	ENST00000617201.229606
reg_25	ENST00000613880.229606
reg_25	ENST00000215637.229606
reg_25	ENST00000622462.229606
reg_26	ENST00000331588.178
reg_26	ENST00000397374.178
reg_27	ENST00000439958.10
reg_27	ENST00000448745.10
reg_27	ENST00000394888.10
reg_27	ENST00000340437.10
reg_28	ENST00000675808.82
reg_28	ENST00000675819.82
reg_28	ENST00000675551.82
reg_28	ENST00000676221.82
reg_28	ENST00000675350.82
reg_28	ENST00000312280.82
reg_28	ENST00000674868.82
reg_28	ENST00000676329.82
reg_28	ENST00000675950.82
reg_28	ENST00000674651.82
reg_28	ENST00000612492.82
reg_28	ENST00000674673.82
reg_29	ENST00000216259.70
reg_30	ENST00000302274.49
reg_30	ENST00000394607.49
reg_31	ENST00000352303.184
reg_31	ENST00000532097.184
reg_31	ENST00000431206.184
reg_31	ENST00000621534.184
reg_32	ENST00000334574.206
reg_32	ENST00000541889.206
reg_33	ENST00000380574.184
reg_33	ENST00000347936.184
reg_33	ENST00000649076.184
reg_34	ENST00000229332.1189263
reg_34	ENST00000345999.1189263
reg_35	ENST00000531107.10
reg_35	ENST00000423302.10
reg_35	ENST00000527509.10
reg_35	ENST00000534266.10
reg_35	ENST00000541483.10
reg_35	ENST00000424001.10
reg_35	ENST00000547195.10
reg_35	ENST00000558540.10
reg_36	ENST00000299424.10
reg_37	ENST00000451060.70
reg_37	ENST00000348657.70
reg_37	ENST00000252115.70
reg_38	ENST00000317078.10
reg_38	ENST00000641645.10
reg_39	ENST00000312108.70
reg_39	ENST00000457250.70
reg_39	ENST00000360719.70
reg_39	ENST00000405237.70
reg_39	ENST00000395650.70
reg_40	ENST00000229332.120671
reg_40	ENST00000360500.120671
reg_40	ENST00000345999.120671
reg_41	ENST00000335385.10
reg_42	ENST00000357008.69
reg_42	ENST00000645005.69
reg_42	ENST00000643335.69
reg_42	ENST00000645645.69
reg_42	ENST00000645095.69
reg_42	ENST00000642879.69
reg_42	ENST00000646806.69
reg_42	ENST00000544484.69
reg_42	ENST00000645022.69
reg_42	ENST00000544040.69
reg_43	ENST00000438146.70
reg_43	ENST00000405409.70
reg_43	ENST00000416721.70
reg_43	ENST00000449924.70
reg_43	ENST00000359369.70
reg_43	ENST00000397303.70
reg_43	ENST00000414461.70
reg_43	ENST00000262829.70
reg_44	ENST00000602569.184
reg_44	ENST00000616316.184
reg_44	ENST00000533141.184
reg_44	ENST00000399817.184
reg_45	ENST00000332987.197137
reg_45	ENST00000424878.147680
reg_45	ENST00000451256.118286
reg_45	ENST00000422706.91696
reg_45	ENST00000426053.91696
reg_45	ENST00000397278.91696
reg_45	ENST00000358502.118286
reg_45	ENST00000319136.91696
reg_45	ENST00000352371.197137
reg_45	ENST00000616056.197137
reg_45	ENST00000397279.91696
reg_45	ENST00000349314.147680
reg_45	ENST00000249066.118286
reg_46	ENST00000648350.70
reg_46	ENST00000401959.70
reg_46	ENST00000402458.70
reg_46	ENST00000215956.70
reg_46	ENST00000648674.70
reg_47	ENST00000614423.49
reg_47	ENST00000613094.49
reg_47	ENST00000354925.49
reg_47	ENST00000616641.49
reg_47	ENST00000644743.49
reg_47	ENST00000394595.49
reg_47	ENST00000355080.49
reg_48	ENST00000399132.49
reg_48	ENST00000399126.49
reg_48	ENST00000642955.49
reg_48	ENST00000399127.49
reg_49	ENST00000263256.70
reg_50	ENST00000529554.10
