target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	308.566	81	35.3433
NM_001281925.1	634	383.036	59.7077	20.9876
NM_001285876.1	834	576.129	11.7745	2.75165
NM_001286187.1	1110	850.279	216.55	34.29
NM_001290408.1	830	572.244	48	11.2936
NM_001291139.1	4671	4411.28	111.5	3.40315
NM_001291140.1	4671	4411.28	111.5	3.40315
NM_001291520.1	4282	4022.28	62.024	2.07615
NM_001293736.1	2063	1803.28	205.867	15.3707
NM_001301748.1	4136	3876.28	1206.25	41.898
XM_004600099.2	4960	4700.28	28	0.802057
XM_004600101.2	2089	1829.28	58.9472	4.33864
XM_004600104.2	2631	2371.28	124.752	7.0833
XM_004600106.2	1814	1554.28	2838	245.841
XM_004600110.2	5382	5122.28	1622.28	42.6415
XM_004600111.2	7707	7447.28	166.039	3.00181
XM_004600112.2	2780	2520.28	279	14.9048
XM_004600113.2	6730	6470.28	290.552	6.04605
XM_004600116.2	4584	4324.28	3805	118.471
XM_004600117.2	5632	5372.28	197	4.93718
XM_004600118.2	3291	3031.28	46	2.04316
XM_004600119.2	4040	3780.28	146.545	5.21935
XM_004600122.3	1286	1026.28	166	21.7778
XM_004600124.2	2122	1862.28	2	0.144596
XM_004600126.2	8802	8542.28	21.9699	0.346278
XM_004600127.2	8714	8454.28	320.038	5.09678
XM_004600128.2	1680	1420.28	0	0
XM_004600129.2	3277	3017.28	200.376	8.94133
XM_004600134.2	3956	3696.28	1034	37.664
XM_004600135.2	2791	2531.28	303.435	16.1398
XM_004600136.2	2646	2386.28	410	23.1331
XM_004600137.2	2111	1851.28	107.073	7.78718
XM_004600138.2	5001	4741.28	325.002	9.22913
XM_004600140.2	6744	6484.28	29.2766	0.607898
XM_004600145.3	7206	6946.28	237.048	4.59467
XM_004600146.2	4518	4258.28	40.7397	1.28811
XM_004600147.2	3462	3202.28	155.839	6.55223
XM_004600156.2	2914	2654.28	2	0.101451
XM_004600157.2	8233	7973.28	131.828	2.22608
XM_004600158.2	8206	7946.28	0	0
XM_004600160.2	7984	7724.28	98.6667	1.71982
XM_004600162.2	7895	7635.28	1599.51	28.2054
XM_004600163.2	822	564.358	0	0
XM_004600165.2	3870	3610.28	316.688	11.8103
XM_004600170.2	2808	2548.28	2084	110.109
XM_004600171.2	7949	7689.28	0.0160149	0.00028042
XM_004600172.2	1592	1332.28	596	60.2313
XM_004600174.2	915	655.972	3196.88	656.163
XM_004600175.2	5371	5111.28	537.745	14.165
XM_004600178.3	4251	3991.28	45	1.518
XM_004600179.2	4101	3841.28	674	23.6241
XM_004600180.2	4123	3863.28	61	2.12591
XM_004600189.2	589	342.21	900	354.096
XM_004600194.3	3168	2908.28	491.279	22.7438
XM_004600197.2	971	711.351	0	0
XM_004600198.2	4479	4219.28	253	8.07334
XM_004600201.2	825	567.244	91.8211	21.7943
XM_004600205.3	803	545.75	3337.98	823.495
XM_004600206.3	1632	1372.28	1446	141.872
XM_004600208.2	1445	1185.28	23.1638	2.63124
XM_004600210.2	823	565.358	12	2.85778
XM_004600212.2	2583	2323.28	207.843	12.0449
XM_004600213.2	2449	2189.28	1458.04	89.6683
XM_004600214.3	3219	2959.28	3616.48	164.54
XM_004600215.2	6567	6307.28	0	0
XM_004600216.3	1298	1038.28	683	88.5682
XM_004600219.3	5369	5109.28	1667.89	43.952
XM_004600220.2	2387	2127.28	1117.84	70.7501
XM_004600221.3	1614	1354.28	43.2569	4.3005
XM_004600222.3	1614	1354.28	0	0
XM_004600223.2	1916	1656.28	275.82	22.4214
XM_004600224.3	1780	1520.28	24.9234	2.20727
XM_004600225.2	8247	7987.28	1241.79	20.9325
XM_004600226.2	3051	2791.28	1366.65	65.9209
XM_004600227.3	1474	1214.28	588.399	65.2416
XM_004600228.2	1637	1377.28	33.0154	3.2275
XM_004600229.2	4150	3890.28	317.286	10.981
XM_004600230.3	661	408.269	338	111.466
XM_004600231.2	942	682.772	0	0
XM_004600232.2	960	700.563	0	0
XM_004600233.2	4351	4091.28	0	0
XM_004600234.3	1767	1507.28	0	0
XM_004600235.2	1156	896.279	2161.7	324.73
XM_004600236.2	1123	863.279	139.758	21.797
XM_004600237.2	1105	845.279	74.7084	11.8998
XM_004600238.2	1069	809.279	579.834	96.4665
XM_004600242.2	1830	1570.28	0	0
XM_004600246.2	1381	1121.28	362	43.4676
XM_004600247.3	4263	4003.28	366.523	12.327
XM_004600248.2	1556	1296.28	172	17.8649
XM_004600251.2	5557	5297.28	8096.01	205.773
XM_004600252.2	3280	3020.28	45.3328	2.02086
XM_004600254.2	1413	1153.28	315.22	36.8002
XM_004600255.2	2627	2367.28	673.492	38.3049
XM_004600262.2	4525	4265.28	549	17.3299
XM_004600269.2	4253	3993.28	7.35985	0.248148
XM_004600270.2	3210	2950.28	394	17.9806
XM_004600271.2	1637	1377.28	54.6417	5.34163
XM_004600273.1	513	275.091	0	0
XM_004600274.2	8108	7848.28	335.636	5.75792
XM_004600275.2	942	682.772	0	0
XM_004600276.2	1540	1280.28	21	2.20844
XM_004600282.2	12312	12052.3	89.688	1.00193
XM_004600285.3	2958	2698.28	1184	59.0794
XM_004600286.2	1233	973.279	0	0
XM_004600287.2	1296	1036.28	0	0
XM_004600288.2	6654	6394.28	324	6.8222
XM_004600291.2	6566	6306.28	0	0
XM_004600292.2	660	407.269	444	146.782
XM_004600294.2	2622	2362.28	0	0
XM_004600295.2	2616	2356.28	0	0
XM_004600296.2	2592	2332.28	0	0
XM_004600297.2	2358	2098.28	0	0
XM_004600298.2	2328	2068.28	0	0
XM_004600301.3	4053	3793.28	448.001	15.9014
XM_004600308.2	4193	3933.28	373.466	12.784
XM_004600309.2	3572	3312.28	664	26.9906
XM_004600310.2	778	521.231	188.305	48.641
XM_004600311.2	3079	2819.28	233	11.1273
XM_004600314.2	2134	1874.28	1042	74.8522
XM_004600319.2	1254	994.279	116	15.708
XM_004600321.2	713	458.299	0	0
XM_004600332.2	1479	1219.28	4	0.4417
XM_004600334.1	639	387.683	1	0.347292
XM_004600336.2	534	293.24	0	0
XM_004600337.1	537	295.808	0	0
XM_004600339.2	750	494.138	0	0
XM_004600342.2	1198	938.279	242	34.726
XM_004600343.2	3025	2765.28	22.0437	1.07329
XM_004600347.2	4854	4594.28	6.83967	0.200442
XM_004600349.2	4531	4271.28	106	3.34133
XM_004600353.2	573	327.624	0	0
XM_004600354.2	588	341.245	0	0
XM_004600360.2	588	341.245	0	0
XM_004600365.2	1488	1228.28	0	0
XM_004600369.3	5832	5572.28	59.4932	1.43749
XM_004600370.2	603	354.74	0	0
XM_004600378.2	2306	2046.28	8.00024	0.526392
XM_004600382.2	4230	3970.28	39	1.32256
XM_004600387.2	1562	1302.28	0	0
XM_004600390.2	650	398.002	0	0
XM_004600395.2	2550	2290.28	156	9.1708
XM_004600397.2	4077	3817.28	20	0.705419
XM_004600398.2	3241	2981.28	17.0009	0.767787
XM_004600400.2	944	684.772	237.372	46.6719
XM_004600402.2	1425	1165.28	4	0.462169
XM_004600404.2	2046	1786.28	19	1.43211
XM_004600407.2	636	384.919	1	0.349786
XM_004600408.2	978	718.351	0	0
XM_004600410.2	772	515.231	5	1.30659
XM_004600411.2	963	703.493	0	0
XM_004600412.2	957	697.633	0	0
XM_004600415.2	2711	2451.28	68.1479	3.7431
XM_004600419.2	2067	1807.28	40	2.97993
XM_004600422.2	2001	1741.28	10	0.773219
XM_004600432.2	1815	1555.28	258	22.3348
XM_004600433.2	591	344.068	291	113.873
XM_004600434.2	5755	5495.28	286.841	7.02786
XM_004600439.2	5544	5284.28	118	3.00654
XM_004600440.2	960	700.563	0	0
XM_004600441.3	1019	759.279	0	0
XM_004600442.2	957	697.633	0	0
XM_004600443.3	939	679.772	0	0
XM_004600445.2	1556	1296.28	56	5.81648
XM_004600447.2	2161	1901.28	223.153	15.8026
XM_004600448.2	2806	2546.28	242.007	12.7965
XM_004600451.2	5374	5114.28	239.056	6.29342
XM_004600453.2	702	447.71	0	0
XM_004600456.2	951	691.703	0	0
XM_004600465.2	2910	2650.28	23.9968	1.21908
XM_004600471.2	1755	1495.28	159	14.3168
XM_004600473.2	1350	1090.28	670.351	82.7819
XM_004600474.2	2629	2369.28	586.33	33.3194
XM_004600479.3	1737	1477.28	3741.2	340.972
XM_004600480.2	1651	1391.28	1058	102.386
XM_004600481.2	2242	1982.28	251.228	17.0637
XM_004600483.2	1686	1426.28	1919	181.151
XM_004600486.2	1210	950.279	1074	152.168
XM_004600487.2	786	529.072	172.911	44.0026
XM_004600488.2	1541	1281.28	1655	173.91
XM_004600495.2	764	507.436	628	166.629
XM_004600500.2	1228	968.279	385	53.5342
XM_004600508.2	1569	1309.28	0	0
XM_004600510.2	1563	1303.28	8.1198	0.83884
XM_004600511.2	3503	3243.28	831	34.4975
XM_004600513.2	6333	6073.28	396.296	8.78552
XM_004600514.2	2165	1905.28	557	39.3611
XM_004600515.2	2092	1832.28	314.061	23.0778
XM_004600516.2	1916	1656.28	542.512	44.1008
XM_004600517.2	3227	2967.28	173.731	7.88295
XM_004600518.2	4458	4198.28	117.974	3.78342
XM_004600519.2	4389	4129.28	2.48515e-08	8.10307e-10
XM_004600521.2	855	596.838	0	0
XM_004600523.2	2574	2314.28	830	48.2873
XM_004600524.2	2363	2103.28	162	10.3702
XM_004600525.2	6842	6582.28	3658	74.8236
XM_004600529.2	3420	3160.28	3845	163.811
XM_004600530.2	1817	1557.28	295.985	25.5903
XM_004600533.2	2399	2139.28	420.131	26.4416
XM_004600535.2	2124	1864.28	92.8838	6.70811
XM_004600536.2	3748	3488.28	1602	61.8333
XM_004600537.3	3311	3051.28	846.319	37.3442
XM_004600539.2	4295	4035.28	1217	40.6058
XM_004600540.2	2943	2683.28	749	37.5826
XM_004600547.3	6855	6595.28	1470	30.0092
XM_004600551.3	3140	2880.28	860.557	40.2269
XM_004600553.3	3061	2801.28	125.353	6.02488
XM_004600554.2	2940	2680.28	65	3.26516
XM_004600555.2	1092	832.279	261.332	42.2761
XM_004600556.2	4168	3908.28	478	16.467
XM_004600561.2	12970	12710.3	116.769	1.23693
XM_004600562.3	3954	3694.28	2465	89.8376
XM_004600563.2	5787	5527.28	95.1277	2.31722
XM_004600564.2	1385	1125.28	127.813	15.2928
XM_004600568.2	1916	1656.28	0	0
XM_004600572.2	3256	2996.28	71.273	3.20268
XM_004600573.2	4597	4337.28	1317	40.8827
XM_004600575.3	5141	4881.28	319.753	8.81966
XM_004600576.2	2492	2232.28	346.326	20.8885
XM_004600577.2	2596	2336.28	8.99999	0.518666
XM_004600578.2	6389	6129.28	102.464	2.25078
XM_004600579.2	6493	6233.28	46.3907	1.00204
XM_004600582.2	3651	3391.28	0	0
XM_004600583.2	1420	1160.28	81	9.39926
XM_004600584.2	1364	1104.28	47	5.73047
XM_004600585.2	896	637.167	0	0
XM_004600592.2	1897	1637.28	1263	103.861
XM_004600593.2	1261	1001.28	325.461	43.7638
XM_004600594.2	1259	999.279	255.065	34.3665
XM_004600599.2	920	660.972	0	0
XM_004600600.2	1584	1324.28	3346	340.187
XM_004600602.2	3624	3364.28	408.738	16.3578
XM_004600604.2	778	521.231	230	59.4113
XM_004600606.2	2536	2276.28	20	1.18297
XM_004600607.3	1967	1707.28	763	60.1715
XM_004600608.2	2714	2454.28	43.8199	2.40391
XM_004600610.2	2662	2402.28	63	3.53092
XM_004600612.2	1582	1322.28	32	3.25835
XM_004600613.2	1559	1299.28	120	12.4351
XM_004600614.2	646	394.405	362	123.577
XM_004600615.2	1377	1117.28	17	2.04861
XM_004600616.2	2598	2338.28	4	0.230322
XM_004600618.2	1559	1299.28	644.58	66.7953
XM_004600621.2	4373	4113.28	1192.44	39.0318
XM_004600623.2	7645	7385.28	1602.82	29.2207
XM_004600628.3	1723	1463.28	3939	362.435
XM_004600630.2	3075	2815.28	365.683	17.4886
XM_004600631.3	8372	8112.28	535.777	8.89226
XM_004600632.3	8357	8097.28	490.007	8.14769
XM_004600634.2	1292	1032.28	215	28.0422
XM_004600639.2	3069	2809.28	517.161	24.7857
XM_004600641.2	2569	2309.28	106.167	6.1899
XM_004600642.3	1391	1131.28	773	91.9985
XM_004600644.2	1930	1670.28	1214	97.859
XM_004600645.2	3476	3216.28	263	11.0096
XM_004600646.2	1070	810.279	308.551	51.2699
XM_004600647.2	2218	1958.28	2061.97	141.768
XM_004600648.2	921	661.906	2.02614	0.412139
XM_004600649.2	3358	3098.28	0	0
XM_004600652.2	2941	2681.28	156.173	7.84217
XM_004600653.1	189	48.1888	0	0
XM_004600654.2	547	304.522	58.5382	25.8817
XM_004600657.2	7685	7425.28	252.67	4.58155
XM_004600658.2	5829	5569.28	1141.85	27.6045
XM_004600659.2	1984	1724.28	158.785	12.3986
XM_004600660.2	3981	3721.28	8186.32	296.188
XM_004600661.2	3991	3731.28	0	0
XM_004600664.2	768	511.282	0	0
XM_004600665.2	3486	3226.28	26.3269	1.09868
XM_004600668.3	3194	2934.28	44.3251	2.03385
XM_004600670.2	5229	4969.28	78.1167	2.11651
XM_004600671.2	7969	7709.28	544.295	9.50586
XM_004600673.3	4094	3834.28	16	0.561833
XM_004600677.2	4951	4691.28	313.177	8.98814
XM_004600679.2	1785	1525.28	454	40.0754
XM_004600682.2	1839	1579.28	473	40.3249
XM_004600685.2	2862	2602.28	936	48.4276
XM_004600687.2	4516	4256.28	87.0833	2.75471
XM_004600689.2	7684	7424.28	378.311	6.86066
XM_004600690.2	7663	7403.28	168.98	3.07315
XM_004600691.2	4076	3816.28	1504	53.0614
XM_004600692.2	3372	3112.28	1111	48.0626
XM_004600693.2	1471	1211.28	290.316	32.2699
XM_004600694.2	1173	913.279	1978	291.604
XM_004600703.2	1464	1204.28	0	0
XM_004600704.2	3660	3400.28	64.3434	2.54777
XM_004600705.2	3175	2915.28	170.325	7.86627
XM_004600706.2	3050	2790.28	110	5.30782
XM_004600708.2	1929	1669.28	197.969	15.9676
XM_004600712.2	2029	1769.28	6903	525.306
XM_004600713.2	1163	903.279	117	17.4395
XM_004600714.2	2651	2391.28	912	51.3494
XM_004600715.2	3988	3728.28	20.2464	0.731155
XM_004600716.3	5195	4935.28	65	1.77326
XM_004600723.2	1483	1223.28	1470.61	161.862
XM_004600724.2	970	710.351	836	158.454
XM_004600725.2	914	654.972	189	38.8517
XM_004600728.2	808	550.695	3	0.733468
XM_004600731.2	995	735.279	234	42.8484
XM_004600732.2	676	422.807	154.216	49.1087
XM_004600734.2	1666	1406.28	0	0
XM_004600735.2	536	295.024	1901.11	867.6
XM_004600736.2	1649	1389.28	195.521	18.9485
XM_004600737.3	1562	1302.28	614.479	63.5292
XM_004600739.2	890	631.167	770.188	164.295
XM_004600741.2	1269	1009.28	0	0
XM_004600742.2	1848	1588.28	0	0
XM_004600743.2	993	733.279	0	0
XM_004600744.2	903	644.103	0	0
XM_004600746.2	725	470.111	973.813	278.898
XM_004600747.2	2655	2395.28	1817.11	102.14
XM_004600748.2	721	466.205	12	3.46557
XM_004600749.2	2228	1968.28	129.027	8.826
XM_004600750.2	2560	2300.28	494.72	28.9567
XM_004600751.3	2594	2334.28	0	0
XM_004600752.2	2233	1973.28	567.445	38.7174
XM_004600755.2	1133	873.279	132.258	20.3911
XM_004600756.2	1133	873.279	367.742	56.6971
XM_004600757.3	1493	1233.28	1890	206.334
XM_004600759.3	790	532.912	669.752	169.211
XM_004600761.2	355	152.307	0	0
XM_004600765.2	3777	3517.28	1899.17	72.6989
XM_004600766.2	1358	1098.28	50	6.12955
XM_004600767.2	1300	1040.28	91.7758	11.8782
XM_004600769.2	1856	1596.28	1	0.0843455
XM_004600770.2	2419	2159.28	1	0.0623537
XM_004600773.2	2737	2477.28	1427	77.5568
XM_004600774.2	2113	1853.28	2	0.145298
XM_004600776.2	4236	3976.28	106.817	3.61689
XM_004600779.2	2589	2329.28	948	54.7971
XM_004600783.2	8389	8129.28	17.5092	0.289991
XM_004600787.2	1566	1306.28	0	0
XM_004600788.2	868	609.536	4	0.88355
XM_004600790.2	864	605.597	38.8681	8.64133
XM_004600798.2	1972	1712.28	90	7.07683
XM_004600800.2	2620	2360.28	1533	87.448
XM_004600801.2	2396	2136.28	52	3.2773
XM_004600804.1	636	384.919	0	0
XM_004600805.3	1909	1649.28	206.763	16.8791
XM_004600809.2	1308	1048.28	615.32	79.0306
XM_004600811.1	756	499.739	0	0
XM_004600825.2	1590	1330.28	45	4.5545
XM_004600829.2	1302	1042.28	43.123	5.57052
XM_004600842.2	2187	1927.28	12	0.838316
XM_004600844.2	1927	1667.28	5	0.403769
XM_004600846.2	456	228.411	3	1.76838
XM_004600850.2	1908	1648.28	18	1.47032
XM_004600851.2	1285	1025.28	2	0.262639
XM_004600857.2	3715	3455.28	21.3746	0.832885
XM_004600864.2	4875	4615.28	376.63	10.9872
XM_004600865.2	2774	2514.28	75	4.01623
XM_004600869.2	845	586.838	0	0
XM_004600871.2	908	649.103	2	0.414847
XM_004600875.2	4947	4687.28	0.00860546	0.000247186
XM_004600876.2	1514	1254.28	0	0
XM_004600877.2	3418	3158.28	25.028	1.06696
XM_004600878.2	2099	1839.28	1279.53	93.6642
XM_004600882.2	1236	976.279	0	0
XM_004600883.3	2565	2305.28	17.9147	1.0463
XM_004600884.2	1212	952.279	0	0
XM_004600885.3	1356	1096.28	0	0
XM_004600887.2	1296	1036.28	80	10.394
XM_004600891.2	2637	2377.28	691.345	39.1548
XM_004600900.2	1907	1647.28	150.199	12.2764
XM_004600901.2	1808	1548.28	141	12.2614
XM_004600902.2	1437	1177.28	0	0
XM_004600903.2	633	382.075	0	0
XM_004600905.2	2251	1991.28	1	0.0676143
XM_004600907.2	1886	1626.28	42.8679	3.54902
XM_004600912.2	2299	2039.28	0	0
XM_004600921.2	3734	3474.28	8.03301	0.311304
XM_004600929.2	3958	3698.28	208	7.57242
XM_004600934.2	1911	1651.28	127	10.3551
XM_004600935.3	1215	955.279	17	2.39602
XM_004600942.2	1572	1312.28	0	0
XM_004600947.2	394	180.356	0	0
XM_004600952.2	488	253.994	44	23.3239
XM_004600959.2	2960	2700.28	0	0
XM_004600967.2	2931	2671.28	651	32.812
XM_004600969.2	4227	3967.28	0	0
XM_004600970.3	3529	3269.28	1228	50.5728
XM_004600973.2	4324	4064.28	0	0
XM_004600974.2	1446	1186.28	43	4.88037
XM_004600976.2	2822	2562.28	6	0.31528
XM_004600984.2	2416	2156.28	291	18.1702
XM_004600987.2	1842	1582.28	0	0
XM_004600991.2	1848	1588.28	632	53.5749
XM_004600995.2	2790	2530.28	4113	218.857
XM_004600997.2	1101	841.279	0	0
XM_004600998.2	717	462.299	0	0
XM_004601003.2	942	682.772	0	0
XM_004601004.2	978	718.351	0	0
XM_004601005.2	972	712.351	0	0
XM_004601008.2	2698	2438.28	52.4647	2.89704
XM_004601009.3	1050	790.279	3	0.511107
XM_004601013.2	1591	1331.28	731	73.9297
XM_004601015.2	1454	1194.28	4	0.450947
XM_004601022.2	1173	913.279	0	0
XM_004601023.3	975	715.351	94.088	17.7087
XM_004601027.2	505	267.897	1334	670.437
XM_004601048.2	1077	817.279	58	9.55495
XM_004601050.2	973	713.351	3.85707	0.727989
XM_004601051.2	4929	4669.28	17.1734	0.495197
XM_004601052.3	5198	4938.28	51	1.39048
XM_004601055.2	1227	967.279	141.881	19.7489
XM_004601056.2	2056	1796.28	0	0
XM_004601059.2	695	441.069	0	0
XM_004601060.2	930	670.839	0	0
XM_004601065.2	1347	1087.28	0	0
XM_004601068.2	1012	752.279	37	6.62207
XM_004601082.2	1655	1395.28	1	0.0964961
XM_004601096.2	1701	1441.28	0	0
XM_004601097.2	1266	1006.28	157.27	21.0426
XM_004601103.2	2729	2469.28	1.19118e-07	6.49497e-09
XM_004601112.2	8374	8114.28	248.85	4.12913
XM_004601121.2	12004	11744.3	0	0
XM_004601122.2	4527	4267.28	0.0373468	0.00117835
XM_004601129.2	6721	6461.28	374	7.79335
XM_004601131.2	1009	749.279	0	0
XM_004601133.1	465	235.699	0	0
XM_004601134.2	1104	844.279	0	0
XM_004601135.2	1507	1247.28	62.1964	6.71387
XM_004601137.2	2192	1932.28	42	2.92651
XM_004601138.2	7057	6797.28	45.9164	0.909502
XM_004601139.2	1264	1004.28	331	44.3756
XM_004601141.2	961	701.563	41.6933	8.00148
XM_004601142.2	2023	1763.28	512.282	39.1164
XM_004601144.2	1910	1650.28	0	0
XM_004601145.2	3318	3058.28	2355	103.678
XM_004601148.2	3208	2948.28	492.343	22.4838
XM_004601150.3	2208	1948.28	102	7.04888
XM_004601151.3	2833	2573.28	219.854	11.5032
