target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	317.569	46	21.59
NM_001281925.1	634	393.795	49.7956	18.8475
NM_001285876.1	834	590.255	6.81004	1.71966
NM_001286187.1	1110	865.856	395.528	68.0869
NM_001290408.1	830	586.255	52	13.2205
NM_001291139.1	4671	4426.86	332.5	11.1951
NM_001291140.1	4671	4426.86	332.5	11.1951
NM_001291520.1	4282	4037.86	125.552	4.63452
NM_001293736.1	2063	1818.86	138.281	11.3317
NM_001301748.1	4136	3891.86	851.47	32.6095
XM_004600099.2	4960	4715.86	34	1.07461
XM_004600101.2	2089	1844.86	94.3029	7.61895
XM_004600104.2	2631	2386.86	181.054	11.3061
XM_004600106.2	1814	1569.86	1579	149.918
XM_004600110.2	5382	5137.86	1401.81	40.6667
XM_004600111.2	7707	7462.86	124.901	2.49456
XM_004600112.2	2780	2535.86	262	15.3996
XM_004600113.2	6730	6485.86	265.707	6.10615
XM_004600116.2	4584	4339.86	2204	75.6953
XM_004600117.2	5632	5387.86	171	4.73056
XM_004600118.2	3291	3046.86	39	1.90785
XM_004600119.2	4040	3795.86	147.64	5.79733
XM_004600122.3	1286	1041.86	229	32.7612
XM_004600124.2	2122	1877.86	4	0.31749
XM_004600126.2	8802	8557.86	10.2164	0.177937
XM_004600127.2	8714	8469.86	357.236	6.28654
XM_004600128.2	1680	1435.86	0	0
XM_004600129.2	3277	3032.86	176.48	8.67312
XM_004600134.2	3956	3711.86	1139	45.7367
XM_004600135.2	2791	2546.86	175.906	10.2946
XM_004600136.2	2646	2401.86	222	13.7765
XM_004600137.2	2111	1866.86	172.721	13.7901
XM_004600138.2	5001	4756.86	333	10.4341
XM_004600140.2	6744	6499.86	0	0
XM_004600145.3	7206	6961.86	147.785	3.164
XM_004600146.2	4518	4273.86	234.738	8.18647
XM_004600147.2	3462	3217.86	9.04106	0.418779
XM_004600156.2	2914	2669.86	0	0
XM_004600157.2	8233	7988.86	0.663503	0.0123791
XM_004600158.2	8206	7961.86	44.7574	0.837881
XM_004600160.2	7984	7739.86	120.774	2.3258
XM_004600162.2	7895	7650.86	977.805	19.0491
XM_004600163.2	822	578.255	0	0
XM_004600165.2	3870	3625.86	122.569	5.03853
XM_004600170.2	2808	2563.86	1992	115.805
XM_004600171.2	7949	7704.86	0.0077449	0.000149825
XM_004600172.2	1592	1347.86	817	90.3464
XM_004600174.2	915	670.998	1789.34	397.469
XM_004600175.2	5371	5126.86	190.251	5.53105
XM_004600178.3	4251	4006.86	8	0.29759
XM_004600179.2	4101	3856.86	817	31.5734
XM_004600180.2	4123	3878.86	94	3.61207
XM_004600189.2	589	351.591	613	259.869
XM_004600194.3	3168	2923.86	739.295	37.6872
XM_004600197.2	971	726.93	0	0
XM_004600198.2	4479	4234.86	227	7.9895
XM_004600201.2	825	581.255	115.025	29.4957
XM_004600205.3	803	559.368	2669.75	711.387
XM_004600206.3	1632	1387.86	1600	171.834
XM_004600208.2	1445	1200.86	42.3591	5.25761
XM_004600210.2	823	579.255	6	1.54388
XM_004600212.2	2583	2338.86	39.2148	2.49907
XM_004600213.2	2449	2204.86	806.843	54.5433
XM_004600214.3	3219	2974.86	4380.67	219.486
XM_004600215.2	6567	6322.86	124.936	2.94514
XM_004600216.3	1298	1053.86	629	88.9615
XM_004600219.3	5369	5124.86	1160.7	33.7576
XM_004600220.2	2387	2142.86	889	61.836
XM_004600221.3	1614	1369.86	97.1204	10.5674
XM_004600222.3	1614	1369.86	25.929	2.82126
XM_004600223.2	1916	1671.86	350.839	31.2781
XM_004600224.3	1780	1535.86	14.112	1.36953
XM_004600225.2	8247	8002.86	874.33	16.2841
XM_004600226.2	3051	2806.86	999.481	53.0746
XM_004600227.3	1474	1229.86	426.804	51.7257
XM_004600228.2	1637	1392.86	31.0113	3.31853
XM_004600229.2	4150	3905.86	300.026	11.4492
XM_004600230.3	661	420.14	303	107.493
XM_004600231.2	942	697.93	0	0
XM_004600232.2	960	715.93	0	0
XM_004600233.2	4351	4106.86	103.037	3.73954
XM_004600234.3	1767	1522.86	2	0.195751
XM_004600235.2	1156	911.856	2649.81	433.133
XM_004600236.2	1123	878.856	113.721	19.2866
XM_004600237.2	1105	860.856	323.617	56.0317
XM_004600238.2	1069	824.856	231.852	41.8953
XM_004600242.2	1830	1585.86	0	0
XM_004600246.2	1381	1136.86	321	42.0855
XM_004600247.3	4263	4018.86	136.476	5.06159
XM_004600248.2	1556	1311.86	238	27.041
XM_004600251.2	5557	5312.86	6309.01	176.997
XM_004600252.2	3280	3035.86	12.5459	0.61596
XM_004600254.2	1413	1168.86	236.086	30.1052
XM_004600255.2	2627	2382.86	668.305	41.8032
XM_004600262.2	4525	4280.86	475	16.5385
XM_004600269.2	4253	4008.86	35.7093	1.32768
XM_004600270.2	3210	2965.86	626.815	31.5008
XM_004600271.2	1637	1392.86	16.3178	1.74618
XM_004600273.1	513	281.531	0	0
XM_004600274.2	8108	7863.86	161.815	3.06702
XM_004600275.2	942	697.93	0	0
XM_004600276.2	1540	1295.86	23	2.64547
XM_004600282.2	12312	12067.9	106.801	1.3191
XM_004600285.3	2958	2713.86	1016	55.8007
XM_004600286.2	1233	988.856	0	0
XM_004600287.2	1296	1051.86	0	0
