Region_ID	Projection_ID
reg_1	ENST00000646693.61
reg_1	ENST00000644737.61
reg_1	ENST00000541122.61
reg_1	ENST00000643296.61
reg_1	ENST00000450717.61
reg_1	ENST00000429416.61
reg_1	ENST00000643549.61
reg_1	ENST00000444061.61
reg_1	ENST00000413806.61
reg_1	ENST00000642726.61
reg_1	ENST00000589677.61
reg_1	ENST00000646484.61
reg_1	ENST00000647230.61
reg_1	ENST00000590574.61
reg_1	ENST00000344626.61
reg_1	ENST00000646510.61
reg_1	ENST00000645460.61
reg_1	ENST00000642628.61
reg_2	ENST00000273317.19
reg_2	ENST00000440097.19
reg_3	ENST00000467460.3
reg_3	ENST00000263962.3
reg_3	ENST00000464614.3
reg_3	ENST00000476138.3
reg_3	ENST00000392649.3
reg_3	ENST00000485199.3
reg_3	ENST00000465751.3
reg_3	ENST00000472994.3
reg_4	ENST00000507910.19
reg_4	ENST00000383366.19
reg_4	ENST00000356918.19
reg_4	ENST00000510688.19
reg_4	ENST00000510769.19
reg_4	ENST00000511262.19
reg_4	ENST00000508196.19
reg_5	ENST00000273375.3
reg_5	ENST00000483733.3
reg_6	ENST00000586096.61
reg_6	ENST00000589656.61
reg_6	ENST00000592623.61
reg_6	ENST00000593052.61
reg_6	ENST00000591032.61
reg_6	ENST00000592588.61
reg_6	ENST00000233609.61
reg_7	ENST00000629643.33
reg_7	ENST00000437626.33
reg_7	ENST00000360697.33
reg_7	ENST00000389863.33
reg_7	ENST00000348831.33
reg_8	ENST00000599319.61
reg_8	ENST00000539106.61
reg_8	ENST00000601630.61
reg_8	ENST00000595073.61
reg_8	ENST00000540691.61
reg_8	ENST00000602094.61
reg_8	ENST00000222307.61
reg_9	ENST00000494238.19
reg_9	ENST00000356232.19
reg_9	ENST00000493720.19
reg_9	ENST00000264991.19
reg_9	ENST00000473651.19
reg_10	ENST00000491361.3
reg_10	ENST00000295910.3
reg_11	ENST00000357332.61
reg_11	ENST00000591090.61
reg_12	ENST00000341333.19
reg_12	ENST00000614067.19
reg_12	ENST00000415259.19
reg_12	ENST00000457573.19
reg_12	ENST00000416589.19
reg_12	ENST00000395057.19
reg_12	ENST00000611400.19
reg_13	ENST00000399934.33
reg_13	ENST00000399925.33
reg_13	ENST00000399928.33
reg_13	ENST00000399935.33
reg_13	ENST00000339024.33
reg_13	ENST00000399926.33
reg_13	ENST00000545939.33
reg_14	ENST00000380620.33
reg_14	ENST00000380618.33
reg_14	ENST00000343118.33
reg_14	ENST00000615480.33
reg_14	ENST00000398714.33
reg_15	ENST00000469224.19
reg_15	ENST00000394965.19
reg_15	ENST00000484952.19
reg_15	ENST00000310271.19
reg_16	ENST00000358552.61
reg_16	ENST00000592199.61
reg_16	ENST00000587260.61
reg_16	ENST00000588228.61
reg_16	ENST00000587760.61
reg_16	ENST00000397661.61
