t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSG00000129354	ENST00000590923	reg_12364	ENST00000590923.61	one2one
ENSG00000129354	ENST00000250244	reg_12364	ENST00000250244.61	one2one
ENSG00000188517	ENST00000399126	reg_4397	ENST00000399126.15	one2one
ENSG00000188517	ENST00000642955	reg_4397	ENST00000642955.15	one2one
ENSG00000188517	ENST00000399132	reg_4397	ENST00000399132.15	one2one
ENSG00000188517	ENST00000399127	reg_4397	ENST00000399127.15	one2one
ENSG00000129226	ENST00000380498	reg_11408	ENST00000380498.24	one2one
ENSG00000129226	ENST00000250092	reg_11408	ENST00000250092.24	one2one
ENSG00000120337	ENST00000404377	reg_17371	ENST00000404377.29	one2one
ENSG00000130720	ENST00000448616	reg_12893	ENST00000448616.10	one2one
ENSG00000130720	ENST00000372338	reg_12893	ENST00000372338.10	one2one
ENSG00000124107	ENST00000338380	reg_7195	ENST00000338380.30	one2many
ENSG00000124107	ENST00000338380	reg_3031	ENST00000338380.71876	one2many
ENSG00000102057	ENST00000218176	reg_17783	ENST00000218176.2	one2one
ENSG00000214941	ENST00000472495	reg_11277	ENST00000472495.143	one2one
ENSG00000214941	ENST00000399277	reg_11277	ENST00000399277.143	one2one
ENSG00000250312	ENST00000609714	None	None	one2zero
ENSG00000250312	ENST00000510175	None	None	one2zero
ENSG00000147174	ENST00000373696	reg_5427	ENST00000373696.2	one2one
ENSG00000147174	ENST00000373695	reg_5427	ENST00000373695.2	one2one
ENSG00000005194	ENST00000568940	reg_10668	ENST00000568940.23	one2one
ENSG00000005194	ENST00000569370	reg_10668	ENST00000569370.23	one2one
ENSG00000005194	ENST00000567518	reg_10668	ENST00000567518.23	one2one
ENSG00000005194	ENST00000394391	reg_10668	ENST00000394391.23	one2one
ENSG00000170373	ENST00000304749	reg_2581	ENST00000304749.57308	many2one
ENSG00000170373	ENST00000398402	reg_2581	ENST00000398402.57308	many2one
ENSG00000101439	ENST00000376925	reg_2581	ENST00000376925.35	many2one
ENSG00000101439	ENST00000398409	reg_2581	ENST00000398409.35	many2one
ENSG00000101439	ENST00000398411	reg_2581	ENST00000398411.35	many2one
ENSG00000144401	ENST00000411432	reg_3386	ENST00000411432.16	one2one
ENSG00000144401	ENST00000426075	reg_3386	ENST00000426075.16	one2one
ENSG00000144401	ENST00000442521	reg_3386	ENST00000442521.16	one2one
ENSG00000144401	ENST00000448007	reg_3386	ENST00000448007.16	one2one
ENSG00000144401	ENST00000406927	reg_3386	ENST00000406927.16	one2one
ENSG00000144401	ENST00000272839	reg_3386	ENST00000272839.16	one2one
ENSG00000100284	ENST00000447733	reg_1671	ENST00000447733.51	one2one
ENSG00000100284	ENST00000449058	reg_1671	ENST00000449058.51	one2one
ENSG00000100284	ENST00000425375	reg_1671	ENST00000425375.51	one2one
ENSG00000100284	ENST00000411850	reg_1671	ENST00000411850.51	one2one
ENSG00000164175	ENST00000296589	reg_16849	ENST00000296589.4	one2one
ENSG00000164175	ENST00000382102	reg_16849	ENST00000382102.4	one2one
ENSG00000178404	ENST00000619342	reg_6598	ENST00000619342.24	one2one
ENSG00000178404	ENST00000322630	reg_6598	ENST00000322630.24	one2one
ENSG00000069943	ENST00000164305	reg_5001	ENST00000164305.45	one2one
ENSG00000069943	ENST00000539642	reg_5001	ENST00000539642.45	one2one
ENSG00000100632	ENST00000557016	reg_9117	ENST00000557016.13	one2one
ENSG00000161405	ENST00000351680	reg_6386	ENST00000351680.24	one2one
ENSG00000161405	ENST00000346243	reg_6386	ENST00000346243.24	one2one
ENSG00000161405	ENST00000350532	reg_6386	ENST00000350532.24	one2one
ENSG00000161405	ENST00000439167	reg_6386	ENST00000439167.24	one2one
ENSG00000161405	ENST00000467757	reg_6386	ENST00000467757.24	one2one
ENSG00000161405	ENST00000346872	reg_6386	ENST00000346872.24	one2one
ENSG00000161405	ENST00000377958	reg_6386	ENST00000377958.24	one2one
ENSG00000161405	ENST00000535189	reg_6386	ENST00000535189.24	one2one
ENSG00000161405	ENST00000439016	reg_6386	ENST00000439016.24	one2one
ENSG00000166482	ENST00000299610	reg_6444	ENST00000299610.24	one2one
ENSG00000166482	ENST00000395592	reg_6444	ENST00000395592.24	one2one
ENSG00000166482	ENST00000497081	reg_6444	ENST00000497081.24	one2one
ENSG00000154217	ENST00000580974	reg_6571	ENST00000580974.87	one2one
ENSG00000154217	ENST00000299954	reg_6571	ENST00000299954.87	one2one
ENSG00000154217	ENST00000581322	reg_6571	ENST00000581322.87	one2one
ENSG00000059769	ENST00000313525	reg_3178	ENST00000313525.10	one2one
ENSG00000138758	ENST00000264893	reg_8173	ENST00000264893.11	one2one
ENSG00000138758	ENST00000502584	reg_8173	ENST00000502584.11	one2one
ENSG00000138758	ENST00000505788	reg_8173	ENST00000505788.11	one2one
ENSG00000138758	ENST00000510515	reg_8173	ENST00000510515.11	one2one
ENSG00000224051	ENST00000343938	reg_1051	ENST00000343938.1	one2one
ENSG00000196116	ENST00000355295	reg_3358	ENST00000355295.10	one2one
ENSG00000121236	ENST00000380097	reg_4039	ENST00000380097.17	one2one
ENSG00000121236	ENST00000380107	reg_4039	ENST00000380107.17	one2one
ENSG00000121236	ENST00000621176	reg_4039	ENST00000621176.17	one2one
ENSG00000121236	ENST00000278302	reg_4039	ENST00000278302.17	one2one
ENSG00000111057	ENST00000388837	reg_13623	ENST00000388837.22	one2one
ENSG00000111057	ENST00000550600	reg_13623	ENST00000550600.22	one2one
ENSG00000111057	ENST00000388835	reg_13623	ENST00000388835.22	one2one
ENSG00000088053	ENST00000417454	reg_2126	ENST00000417454.48	many2many
ENSG00000088053	ENST00000333884	reg_2126	ENST00000333884.48	many2many
ENSG00000105609	ENST00000316219	reg_1997	ENST00000316219.1838	many2many
ENSG00000105609	ENST00000316219	reg_10735	ENST00000316219.608	many2many
ENSG00000105609	ENST00000316219	reg_10596	ENST00000316219.1751	many2many
ENSG00000105609	ENST00000316219	reg_2023	ENST00000316219.48	many2many
ENSG00000105609	ENST00000316219	reg_1966	ENST00000316219.8146	many2many
