target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	302.776	505	227.034
NM_001281925.1	634	373.603	99.8527	36.3807
NM_001285876.1	834	560.334	17.9535	4.36137
NM_001286187.1	1110	834.593	366.609	59.7929
NM_001290408.1	830	556.39	83	20.3058
NM_001291139.1	4671	4395.59	287	8.88762
NM_001291140.1	4671	4395.59	287	8.88762
NM_001291520.1	4282	4006.59	193.243	6.56523
NM_001293736.1	2063	1787.59	233.616	17.7892
NM_001301748.1	4136	3860.59	2169.82	76.505
XM_004600099.2	4960	4684.59	49	1.42379
XM_004600101.2	2089	1813.59	105.2	7.89585
XM_004600104.2	2631	2355.59	266.437	15.3963
XM_004600106.2	1814	1538.59	2976	263.288
XM_004600110.2	5382	5106.59	3811	101.585
XM_004600111.2	7707	7431.59	239.849	4.39316
XM_004600112.2	2780	2504.59	486	26.4132
XM_004600113.2	6730	6454.59	297.758	6.27938
XM_004600116.2	4584	4308.59	5725	180.868
XM_004600117.2	5632	5356.59	298	7.57267
XM_004600118.2	3291	3015.59	139	6.27427
XM_004600119.2	4040	3764.59	73.226	2.6477
XM_004600122.3	1286	1010.59	207	27.8814
XM_004600124.2	2122	1846.59	0	0
XM_004600126.2	8802	8526.59	10.9703	0.175132
XM_004600127.2	8714	8438.59	535.447	8.6371
XM_004600128.2	1680	1404.59	0	0
XM_004600129.2	3277	3001.59	219.444	9.9516
XM_004600134.2	3956	3680.59	1210	44.7496
XM_004600135.2	2791	2515.59	455.119	24.6267
XM_004600136.2	2646	2370.59	441	25.3223
XM_004600137.2	2111	1835.59	157.559	11.6839
XM_004600138.2	5001	4725.59	766	22.0645
XM_004600140.2	6744	6468.59	107.146	2.2547
XM_004600145.3	7206	6930.59	349.968	6.87352
XM_004600146.2	4518	4242.59	279.616	8.97124
XM_004600147.2	3462	3186.59	214.266	9.15268
XM_004600156.2	2914	2638.59	0	0
XM_004600157.2	8233	7957.59	0	0
XM_004600158.2	8206	7930.59	20.3664	0.349567
XM_004600160.2	7984	7708.59	92.1003	1.62632
XM_004600162.2	7895	7619.59	1448.53	25.8772
XM_004600163.2	822	548.501	0	0
XM_004600165.2	3870	3594.59	489.614	18.5406
XM_004600170.2	2808	2532.59	4028	216.494
XM_004600171.2	7949	7673.59	64.0019	1.13531
XM_004600172.2	1592	1316.59	810	83.7442
XM_004600174.2	915	640.199	2196.03	466.921
XM_004600175.2	5371	5095.59	246.254	6.57823
XM_004600178.3	4251	3975.59	28	0.958688
XM_004600179.2	4101	3825.59	1675	59.5988
XM_004600180.2	4123	3847.59	83	2.93637
XM_004600189.2	589	334.108	834	339.782
XM_004600194.3	3168	2892.59	826.81	38.9081
XM_004600197.2	971	695.735	0	0
XM_004600198.2	4479	4203.59	229	7.41543
XM_004600201.2	825	551.501	100.968	24.9206
XM_004600205.3	803	530.317	2584.69	663.428
XM_004600206.3	1632	1356.59	1057	106.059
XM_004600208.2	1445	1169.59	0	0
XM_004600210.2	823	549.501	0	0
XM_004600212.2	2583	2307.59	124.56	7.3475
XM_004600213.2	2449	2173.59	968.714	60.6651
XM_004600214.3	3219	2943.59	4651.49	215.098
XM_004600215.2	6567	6291.59	0	0
XM_004600216.3	1298	1022.59	644	85.7243
XM_004600219.3	5369	5093.59	2037.92	54.4609
XM_004600220.2	2387	2111.59	839	54.0845
XM_004600221.3	1614	1338.59	39.6318	4.0301
XM_004600222.3	1614	1338.59	12.2864	1.24939
XM_004600223.2	1916	1640.59	816.082	67.7102
XM_004600224.3	1780	1504.59	0	0
XM_004600225.2	8247	7971.59	878	14.9924
XM_004600226.2	3051	2775.59	1137.66	55.7929
XM_004600227.3	1474	1198.59	368.22	41.8174
XM_004600228.2	1637	1361.59	40.067	4.00553
XM_004600229.2	4150	3874.59	321.021	11.2779
XM_004600230.3	661	398.387	299	102.161
XM_004600231.2	942	666.938	0	0
XM_004600232.2	960	684.735	0	0
XM_004600233.2	4351	4075.59	0.000107651	3.59543e-06
XM_004600234.3	1767	1491.59	0	0
XM_004600235.2	1156	880.593	2045.45	316.18
XM_004600236.2	1123	847.593	103.06	16.551
XM_004600237.2	1105	829.593	74.391	12.2061
XM_004600238.2	1069	793.593	271.102	46.5003
XM_004600242.2	1830	1554.59	0	0
XM_004600246.2	1381	1105.59	367	45.1847
XM_004600247.3	4263	3987.59	326.29	11.1382
XM_004600248.2	1556	1280.59	191	20.3022
XM_004600251.2	5557	5281.59	8779.61	226.273
XM_004600252.2	3280	3004.59	0	0
XM_004600254.2	1413	1137.59	264.737	31.6773
XM_004600255.2	2627	2351.59	832.402	48.1828
XM_004600262.2	4525	4249.59	693	22.1977
XM_004600269.2	4253	3977.59	59.9123	2.0503
XM_004600270.2	3210	2934.59	535.392	24.8339
XM_004600271.2	1637	1361.59	79.9215	7.98982
XM_004600273.1	513	269.668	0	0
XM_004600274.2	8108	7832.59	501.987	8.72385
XM_004600275.2	942	666.938	0	0
XM_004600276.2	1540	1264.59	17	1.82987
XM_004600282.2	12312	12036.6	144.782	1.63732
XM_004600285.3	2958	2682.59	2260	114.677
XM_004600286.2	1233	957.593	0	0
XM_004600287.2	1296	1020.59	0	0
XM_004600288.2	6654	6378.59	681	14.5326
XM_004600291.2	6566	6290.59	51.8608	1.1222
XM_004600292.2	660	397.469	478	163.699
XM_004600294.2	2622	2346.59	0	0
XM_004600295.2	2616	2340.59	0	0
XM_004600296.2	2592	2316.59	0	0
XM_004600297.2	2358	2082.59	1.64486e-08	1.07509e-09
XM_004600298.2	2328	2052.59	2	0.132632
XM_004600301.3	4053	3777.59	837.009	30.1603
XM_004600308.2	4193	3917.59	396.824	13.788
XM_004600309.2	3572	3296.59	1017	41.993
XM_004600310.2	778	506.25	154.249	41.4741
XM_004600311.2	3079	2803.59	282	13.6916
XM_004600314.2	2134	1858.59	1148	84.0773
XM_004600319.2	1254	978.593	81	11.2669
XM_004600321.2	713	445.966	0	0
XM_004600332.2	1479	1203.59	2	0.226189
XM_004600334.1	639	377.983	0	0
XM_004600336.2	534	287.15	0	0
XM_004600337.1	537	289.902	0	0
XM_004600339.2	750	479.884	0	0
XM_004600342.2	1198	922.593	300	44.2621
XM_004600343.2	3025	2749.59	36.0249	1.78343
XM_004600347.2	4854	4578.59	14.2547	0.423786
XM_004600349.2	4531	4255.59	160	5.11777
XM_004600353.2	573	320.483	0	0
XM_004600354.2	588	333.248	0	0
XM_004600360.2	588	333.248	0.4	0.163385
XM_004600365.2	1488	1212.59	0	0
XM_004600369.3	5832	5556.59	31.0893	0.761595
XM_004600370.2	603	346.546	0	0
XM_004600378.2	2306	2030.59	11.2756	0.755856
XM_004600382.2	4230	3954.59	27	0.929358
XM_004600387.2	1562	1286.59	0	0
XM_004600390.2	650	388.115	2	0.70144
XM_004600395.2	2550	2274.59	205	12.2679
XM_004600397.2	4077	3801.59	5	0.17903
XM_004600398.2	3241	2965.59	0	0
XM_004600400.2	944	668.938	176.438	35.9028
XM_004600402.2	1425	1149.59	6	0.710441
XM_004600404.2	2046	1770.59	10	0.768781
XM_004600407.2	636	375.371	4.85335	1.75996
XM_004600408.2	978	702.735	2.14665	0.415805
XM_004600410.2	772	500.604	13	3.53484
XM_004600411.2	963	687.735	0	0
XM_004600412.2	957	681.804	0	0
XM_004600415.2	2711	2435.59	99.7815	5.57656
XM_004600419.2	2067	1791.59	51	3.87482
XM_004600422.2	2001	1725.59	19	1.49877
XM_004600432.2	1815	1539.59	216	19.0972
XM_004600433.2	591	335.687	292	118.405
XM_004600434.2	5755	5479.59	198.904	4.94102
XM_004600439.2	5544	5268.59	317	8.19004
XM_004600440.2	960	684.735	0	0
XM_004600441.3	1019	743.593	0	0
XM_004600442.2	957	681.804	0	0
XM_004600443.3	939	663.938	0	0
XM_004600445.2	1556	1280.59	84	8.92872
XM_004600447.2	2161	1885.59	353.266	25.502
XM_004600448.2	2806	2530.59	339.14	18.2422
XM_004600451.2	5374	5098.59	316.967	8.46222
XM_004600453.2	702	435.862	0	0
XM_004600456.2	951	675.804	0	0
XM_004600465.2	2910	2634.59	12.7083	0.656592
XM_004600471.2	1755	1479.59	76	6.99186
XM_004600473.2	1350	1074.59	519.162	65.7627
XM_004600474.2	2629	2353.59	670.224	38.7623
XM_004600479.3	1737	1461.59	2964.58	276.095
XM_004600480.2	1651	1375.59	766	75.7984
XM_004600481.2	2242	1966.59	223.192	15.4485
XM_004600483.2	1686	1410.59	1497	144.458
XM_004600486.2	1210	934.593	867	126.275
XM_004600487.2	786	513.841	162.454	43.0351
XM_004600488.2	1541	1265.59	1432	154.018
XM_004600495.2	764	492.904	306	84.5046
XM_004600500.2	1228	952.593	195	27.8643
XM_004600508.2	1569	1293.59	0	0
XM_004600510.2	1563	1287.59	5.38098	0.568858
XM_004600511.2	3503	3227.59	1263	53.2655
XM_004600513.2	6333	6057.59	699.402	15.7162
XM_004600514.2	2165	1889.59	615	44.3025
XM_004600515.2	2092	1816.59	347.895	26.0682
XM_004600516.2	1916	1640.59	599.408	49.7328
XM_004600517.2	3227	2951.59	264.142	12.1816
XM_004600518.2	4458	4182.59	120.588	3.92446
XM_004600519.2	4389	4113.59	0	0
XM_004600521.2	855	580.93	0	0
XM_004600523.2	2574	2298.59	633	37.4855
XM_004600524.2	2363	2087.59	109	7.10725
XM_004600525.2	6842	6566.59	4116	85.3211
XM_004600529.2	3420	3144.59	4602	199.206
XM_004600530.2	1817	1541.59	212.135	18.7311
XM_004600533.2	2399	2123.59	332.804	21.3323
XM_004600535.2	2124	1848.59	85.0613	6.26342
XM_004600536.2	3748	3472.59	1299	50.9186
XM_004600537.3	3311	3035.59	1053	47.2178
XM_004600539.2	4295	4019.59	1406	47.6129
XM_004600540.2	2943	2667.59	665	33.9331
XM_004600547.3	6855	6579.59	1905	39.411
XM_004600551.3	3140	2864.59	752.905	35.7765
XM_004600553.3	3061	2785.59	232.262	11.3496
XM_004600554.2	2940	2664.59	89	4.54653
XM_004600555.2	1092	816.593	216.722	36.1258
XM_004600556.2	4168	3892.59	520	18.1838
XM_004600561.2	12970	12694.6	0.0100005	0.000107232
XM_004600562.3	3954	3678.59	2585	95.6533
XM_004600563.2	5787	5511.59	145.594	3.59573
XM_004600564.2	1385	1109.59	177.381	21.7603
XM_004600568.2	1916	1640.59	0	0
XM_004600572.2	3256	2980.59	93.7903	4.28328
XM_004600573.2	4597	4321.59	1292	40.6949
XM_004600575.3	5141	4865.59	286.319	8.01007
XM_004600576.2	2492	2216.59	346.902	21.3031
XM_004600577.2	2596	2320.59	4	0.234629
XM_004600578.2	6389	6113.59	90.2858	2.01022
XM_004600579.2	6493	6217.59	66.3466	1.45251
XM_004600582.2	3651	3375.59	0	0
XM_004600583.2	1420	1144.59	78	9.27608
XM_004600584.2	1364	1088.59	29	3.62622
XM_004600585.2	896	621.449	0	0
XM_004600592.2	1897	1621.59	1110	93.1756
XM_004600593.2	1261	985.593	178.861	24.7024
XM_004600594.2	1259	983.593	151.034	20.9016
XM_004600599.2	920	645.135	3	0.632983
XM_004600600.2	1584	1308.59	3653	379.985
XM_004600602.2	3624	3348.59	404.261	16.4331
XM_004600604.2	778	506.25	193	51.8936
XM_004600606.2	2536	2260.59	4	0.240857
XM_004600607.3	1967	1691.59	681	54.799
XM_004600608.2	2714	2438.59	118.419	6.61004
XM_004600610.2	2662	2386.59	20	1.1407
XM_004600612.2	1582	1306.59	66	6.87582
XM_004600613.2	1559	1283.59	197	20.891
XM_004600614.2	646	384.433	338	119.679
XM_004600615.2	1377	1101.59	14	1.72993
XM_004600616.2	2598	2322.59	0	0
XM_004600618.2	1559	1283.59	525.693	55.7475
XM_004600621.2	4373	4097.59	1392.48	46.2573
XM_004600623.2	7645	7369.59	2342.7	43.2708
XM_004600628.3	1723	1447.59	4537	426.622
XM_004600630.2	3075	2799.59	260.465	12.6641
XM_004600631.3	8372	8096.59	816.431	13.7258
XM_004600632.3	8357	8081.59	481.605	8.11177
XM_004600634.2	1292	1016.59	220	29.4576
XM_004600639.2	3069	2793.59	453.982	22.1206
XM_004600641.2	2569	2293.59	490.668	29.1201
XM_004600642.3	1391	1115.59	588	71.7452
XM_004600644.2	1930	1654.59	1023	84.16
XM_004600645.2	3476	3200.59	404	17.1819
XM_004600646.2	1070	794.593	276.629	47.3887
XM_004600647.2	2218	1942.59	2042.31	143.107
XM_004600648.2	921	646.135	2.68511	0.565666
XM_004600649.2	3358	3082.59	7.84447e-07	3.46393e-08
XM_004600652.2	2941	2665.59	146.591	7.48576
XM_004600653.1	189	45.0204	0	0
XM_004600654.2	547	298.547	243.027	110.806
XM_004600657.2	7685	7409.59	356.951	6.55746
XM_004600658.2	5829	5553.59	2565.57	62.8827
XM_004600659.2	1984	1708.59	243.918	19.4324
XM_004600660.2	3981	3705.59	7765.76	285.265
XM_004600661.2	3991	3715.59	0	0
XM_004600664.2	768	496.805	0	0
XM_004600665.2	3486	3210.59	38.0599	1.61363
XM_004600668.3	3194	2918.59	64.5396	3.01005
XM_004600670.2	5229	4953.59	158.887	4.36606
XM_004600671.2	7969	7693.59	905.285	16.0169
XM_004600673.3	4094	3818.59	16	0.570345
XM_004600677.2	4951	4675.59	467.657	13.6148
XM_004600679.2	1785	1509.59	577	52.028
XM_004600682.2	1839	1563.59	430	37.434
