All statistics are based on contigs of size >= 3000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    mSorAra1.pri.asm.20211103  GCA_000181395.1_ASM18139v1_genomic  GCA_004027635.1_CroInd_v1_BIUU_genomic  GCF_000181275.1_SorAra2.0_genomic  GCA_000296755.1_EriEur2.0_genomic  GCA_004363575.1_SolPar_v1_BIUU_genomic  GCF_000260355.1_ConCri1.0_genomic  GCA_002901085.1_ASM290108v1_genomic  GCA_019455555.1_Gpyr_1.0_genomic  GCF_014898055.1_MPIMG_talOcc4_genomic  GCA_004024925.1_ScaAqu_v1_BIUU_genomic  GCA_021461705.1_Cryptotis_parva_assembly_1.0_genomic  GCF_024139225.1_mSunEtr1.pri.cur_genomic  GCA_004024945.1_UroGra_v1_BIUU_genomic  GCA_026122425.1_SC2_V1_genomic
# contigs (>= 0 bp)         233                        847680                              2415412                                 12845                              5802                               176618                                  2040                               40482                                12306                             4425                                   640296                                  39388                                                 147                                       723835                                  3379                          
# contigs (>= 1000 bp)      233                        771929                              533455                                  12845                              5802                               22577                                   2040                               40482                                3275                              4425                                   55714                                   38273                                                 147                                       103814                                  3379                          
# contigs (>= 5000 bp)      233                        75731                               120290                                  2172                               2559                               14072                                   467                                31912                                1469                              3685                                   30305                                   34459                                                 142                                       47328                                   3379                          
# contigs (>= 10000 bp)     232                        18699                               54248                                   1078                               2045                               12022                                   266                                27716                                1117                              2681                                   25869                                   30863                                                 130                                       35104                                   3379                          
# contigs (>= 25000 bp)     213                        507                                 11136                                   585                                1770                               9115                                    189                                20179                                848                               944                                    18927                                   22020                                                 108                                       20757                                   3379                          
# contigs (>= 50000 bp)     164                        63                                  1505                                    473                                1663                               6726                                    144                                13180                                680                               92                                     12364                                   13069                                                 70                                        10908                                   3379                          
Total length (>= 0 bp)      2459336321                 2133117389                          3082217326                              2423158183                         2715703478                         2109877870                              1769662895                         2049415269                           1828347170                        2098020470                             2068871057                              2196365350                                            2471666657                                2112710047                              2283226199                    
Total length (>= 1000 bp)   2459336321                 2066879886                          2402584627                              2423158183                         2715703478                         2062807578                              1769662895                         2049415269                           1822166123                        2098020470                             1901288684                              2195647555                                            2471666657                                1914657881                              2283226199                    
Total length (>= 5000 bp)   2459336321                 664873857                           1532259342                              2404465319                         2709454854                         2044701388                              1766318581                         2028343025                           1817972561                        2095917748                             1849728396                              2184794356                                            2471650960                                1792905057                              2283226199                    
Total length (>= 10000 bp)  2459326403                 259905613                           1070390752                              2396748103                         2705583874                         2029881143                              1764918546                         1997595767                           1815584124                        2088709202                             1817877759                              2158359884                                            2471550903                                1705763405                              2283226199                    
Total length (>= 25000 bp)  2458942042                 19472995                            417167120                               2389897034                         2701480748                         1981673732                              1763844726                         1871204344                           1811265490                        2059841332                             1701908320                              2005110559                                            2471160777                                1471659153                              2283226199                    
Total length (>= 50000 bp)  2457086062                 5414065                             98299390                                2385054282                         2697629261                         1895673329                              1762011911                         1616982459                           1805352079                        2032050082                             1463336420                              1685520253                                            2469745763                                1118879868                              2283226199                    
# contigs                   233                        160314                              199640                                  3663                               3186                               15892                                   827                                34588                                1874                              4024                                   34782                                   36165                                                 144                                       59453                                   3379                          
Largest contig              441239200                  392637                              334926                                  60238417                           17429815                           4518367                                 89887394                           919807                               36404611                          155735125                              758314                                  1631536                                               208244741                                 675744                                  22233027                      
Total length                2459336321                 971098796                           1837639356                              2410424072                         2711841657                         2051806763                              1767713640                         2038902213                           1819516938                        2097278780                             1867122067                              2191539156                                            2471658457                                1839970050                              2283226199                    
GC (%)                      43.23                      41.13                               38.76                                   42.91                              41.53                              39.87                                   41.54                              39.87                                41.65                             41.91                                  41.64                                   42.79                                                 39.81                                     39.99                                   41.93                         
N50                         231235302                  7153                                12307                                   22794405                           3267260                            425252                                  55520359                           111636                               8555737                           119794413                              106858                                  112495                                                131952995                                 67231                                   2625934                       
N75                         166085329                  4315                                6391                                    9970888                            1649127                            177767                                  35080050                           58362                                3836593                           103423330                              56035                                   53654                                                 99890541                                  31321                                   874277                        
L50                         4                          45685                               40587                                   36                                 248                                1231                                    13                                 5281                                 65                                8                                      5184                                    5192                                                  8                                         7477                                    209                           
L75                         7                          89382                               92965                                   78                                 541                                3099                                    24                                 11556                                146                               12                                     11177                                   12261                                                 14                                        17485                                   586                           
# N's per 100 kbp           2392.21                    0.00                                28.66                                   9584.55                            14104.85                           25.28                                   4923.26                            13.07                                1495.92                           17.36                                  38.77                                   0.00                                                  430.64                                    44.83                                   5404.91                       
