Species	Alignment	LongestENST	BUSCO_complete	Fragmented	Missing	Frag	Miss	Source
sorex_araneus	sorAra	17246	97.6	78	143	0.845436809	1.549967483	Thomas
mustela_erminea	mMusErm1	18735	99.31	8	56	0.086711468	0.606980273	Kirilenko_2023
mus_musculus	musMus	18274	99.72	6	20	0.065033601	0.216778669	Kirilenko_2023
solenodon_paradoxus	solPar	17996	98.32	55	100	0.59614134	1.083893345	Kirilenko_2023
scalopus_aquaticus	solAqu	17721	97.29	83	167	0.899631476	1.810101886	Kirilenko_2023
erinaceus_europaeus	eriEur	16912	96.89	145	142	1.57164535	1.53912855	Kirilenko_2023
condylura_cristata	conCri	16434	92.39	199	503	2.156947756	5.451983525	Kirilenko_2023
mustela_putorius_furo	musFur	18725	99.57	10	30	0.108389334	0.325168003	Kirilenko_2023
martes_zibellina	marZib	18631	98.16	89	81	0.964665077	0.877953609	Kirilenko_2023
lutra_lutra	lutLut	18612	99.62	7	28	0.075872534	0.303490137	Kirilenko_2023
mustela_nigripes	musNig	18182	99.2	29	44	0.31432907	0.476913072	Thomas
ailuropoda_melanoleuca	ailMel	18359	98.3	80	77	0.867114676	0.834597876	Kirilenko_2023
lynx_canadensis	lynCan	18302	98.75	31	84	0.336006937	0.91047041	Kirilenko_2023
vulpes_lagopus	vulLag	18178	97.04	119	154	1.28983308	1.669195751	Kirilenko_2023
manis_javanica	manJav	17979	97.39	97	144	1.051376545	1.560806417	Kirilenko_2023
ceratotherium_simum_cottoni	cerSim	18176	94.0	272	282	2.948189898	3.056579233	Kirilenko_2023
sus_scrofa	susScr11	18664	99.64	8	25	0.086711468	0.270973336	Kirilenko_2023
phocoena_sinus	mPhoSin1	17680	99.06	19	68	0.205939736	0.737047475	Kirilenko_2023
ovis_orientalis	oviOri	18698	99.76	7	15	0.075872534	0.162584002	Kirilenko_2023
bos_gaurus	bosGar	18627	99.69	10	19	0.108389334	0.205939736	Kirilenko_2023
cervus_elaphus	cerEla	16435	82.56	810	799	8.779536094	8.660307826	Kirilenko_2023
camelus_ferus	camFer	18522	99.24	23	47	0.249295469	0.509429872	Kirilenko_2023
rhinolophus_ferrumequinum	rhiFer	18402	99.23	7	64	0.075872534	0.693691741	Kirilenko_2023
myotis_myotis	myoMyo	18246	99.43	13	40	0.140906135	0.433557338	Kirilenko_2023
phyllostomus_discolor	mPhyDis1	18316	99.34	 12 	 49 	0.130067201	0.531107739	Kirilenko_2023
pipistrellus_pipistrellus	pipPip	16888	92.67	 69 	 607 	0.747886408	6.579232604	Kirilenko_2023
oryctolagus_cuniculus	oryCun3	17078	91.89	 135 	 613 	1.463256016	6.644266204	Kirilenko_2023
sciurus_vulgaris	sciVul	18791	99.82	 4 	 13 	0.043355734	0.140906135	Kirilenko_2023
rattus_norvegicus	mRatBN	18230	99.67	 9 	 21 	0.097550401	0.227617602	Kirilenko_2023
peromyscus_leucopus	perLeu	18048	98.11	 21 	 153 	0.227617602	1.658356818	Kirilenko_2023
acomys_russatus	acoRus	18257	99.33	18	44	0.195100802	0.476913072	Kirilenko_2023
macaca_mulatta	rheMac10	19283	99.8	 5 	 13 	0.054194667	0.140906135	Kirilenko_2023
pan_troglodytes	panTro6	19321	99.48	 11 	 37 	0.119228268	0.401040538	Kirilenko_2023
hylobates_moloch	hylMol	19046	98.22	 81 	 83 	0.877953609	0.899631476	Kirilenko_2023
papio_anubis	papAnu	18890	98.07	 32 	 146 	0.34684587	1.582484284	Kirilenko_2023
microcebus_murinus	micMur	18857	99.06	 37 	 50 	0.401040538	0.541946672	Kirilenko_2023
tupaia_chinensis	tupChi	17460	97.89	 129 	 66 	1.398222415	0.715369608	Kirilenko_2023
talpa_occidentalis	talOcc	18343	99.13	 14 	 66 	0.151745068	0.715369608	Kirilenko_2023
suncus_etruscus	sunEtr	16831	96.8	 82 	 213 	0.888792543	2.308692825	Thomas
