X1	X2	X3	X4	p_adjusted	X5	X6
1	ENST00000026218	cervus_elaphus	0	0	0	ENSG00000007541	PIGQ
2	ENST00000083182	cervus_elaphus	3.9e-09	2.756e-07	3.93358796116505e-05	ENSG00000062725	APPBP2
3	ENST00000160262	cervus_elaphus	9e-10	5.4e-08	9.12475862068965e-06	ENSG00000076662	ICAM3
4	ENST00000215906	cervus_elaphus	2e-10	1.16e-08	2.33604931506849e-06	ENSG00000128203	ASPHD2
5	ENST00000216479	cervus_elaphus	9e-10	6.64e-08	1.09679370786517e-05	ENSG00000100591	AHSA1
6	ENST00000219551	cervus_elaphus	0	0	0	ENSG00000103269	RHBDL1
7	ENST00000219611	cervus_elaphus	2.8372e-06	0.0001957636	0.0146087344345178	ENSG00000103326	CAPN15
8	ENST00000229239	cervus_elaphus	0	2.1e-09	4.823765625e-07	ENSG00000111640	GAPDH
9	ENST00000236040	cervus_elaphus	1.4e-09	9.08e-08	1.40510610526316e-05	ENSG00000117385	P3H1
10	ENST00000238647	cervus_elaphus	0	0	0	ENSG00000119669	IRF2BPL
11	ENST00000250003	cervus_elaphus	3.326e-07	2.49485e-05	0.0023067163427673	ENSG00000129152	MYOD1
12	ENST00000252050	cervus_elaphus	9.3711e-06	0.000702832	0.0457182886371681	ENSG00000112659	CUL9
13	ENST00000258796	cervus_elaphus	4.0334e-06	0.0002783035	0.0194825702547619	ENSG00000136295	TTYH3
14	ENST00000259030	cervus_elaphus	1.1e-09	8.02e-08	1.25427680851064e-05	ENSG00000136514	RTP4
15	ENST00000261881	cervus_elaphus	1e-10	1.1e-08	2.24598611111111e-06	ENSG00000075131	TIPIN
16	ENST00000261917	cervus_elaphus	0	0	0	ENSG00000138622	HCN4
17	ENST00000262304	cervus_elaphus	0	0	0	ENSG00000008710	PKD1
18	ENST00000262318	cervus_elaphus	0	1.4e-09	3.43023333333333e-07	ENSG00000103249	CLCN7
19	ENST00000263776	cervus_elaphus	0	1e-09	2.49169491525424e-07	ENSG00000110455	ACCS
20	ENST00000265709	cervus_elaphus	0	1.6e-09	3.7938064516129e-07	ENSG00000029534	ANK1
21	ENST00000266744	cervus_elaphus	2.76e-08	1.9585e-06	0.000230335268	ENSG00000139352	ASCL1
22	ENST00000267383	cervus_elaphus	0	0	0	ENSG00000139880	CDH24
23	ENST00000267803	cervus_elaphus	2.528e-06	0.0001719055	0.0129599115666667	ENSG00000140254	DUOXA1
24	ENST00000269576	cervus_elaphus	5.1311e-06	0.0003232578	0.0224160986688679	ENSG00000186395	KRT10
25	ENST00000278886	cervus_elaphus	3.5785e-06	0.0002182909	0.0159656443825871	ENSG00000101004	NINL
26	ENST00000281581	cervus_elaphus	1.7543e-06	0.0001070153	0.00852038968702703	ENSG00000151838	CCDC175
27	ENST00000287008	cervus_elaphus	0	0	0	ENSG00000156453	PCDH1
28	ENST00000287042	cervus_elaphus	0	0	0	ENSG00000156486	KCNS2
29	ENST00000288912	cervus_elaphus	7.7301e-06	0.0004483438	0.0305143620546296	ENSG00000158023	CFAP251
30	ENST00000289746	cervus_elaphus	0	0	0	ENSG00000129910	CDH15
31	ENST00000290663	cervus_elaphus	0	0	0	ENSG00000159479	MED8
32	ENST00000292609	cervus_elaphus	4.43e-08	2.8355e-06	0.00032566160546875	ENSG00000161031	PGLYRP2
33	ENST00000293288	cervus_elaphus	3e-10	1.94e-08	3.65640256410256e-06	ENSG00000087088	BAX
34	ENST00000294168	cervus_elaphus	3.13e-08	2.2555e-06	0.000263159567460317	ENSG00000162227	TAF6L
35	ENST00000294489	cervus_elaphus	0	0	0	ENSG00000162493	PDPN
36	ENST00000294785	cervus_elaphus	2.951e-07	2.27245e-05	0.00214149278525641	ENSG00000162736	NCSTN
37	ENST00000295150	cervus_elaphus	7.1e-09	3.455e-07	4.78263373831776e-05	ENSG00000186453	FAM228A
38	ENST00000295171	cervus_elaphus	1.708e-07	9.7341e-06	0.000986903476551724	ENSG00000163040	CCDC74A
39	ENST00000295550	cervus_elaphus	1e-10	9e-09	1.94572058823529e-06	ENSG00000163359	COL6A3
40	ENST00000298288	cervus_elaphus	2.2894e-06	0.0001717076	0.0129599115666667	ENSG00000165501	LRR1
41	ENST00000300575	cervus_elaphus	1.61e-08	1.1573e-06	0.000146667821551724	ENSG00000167194	C16orf92
42	ENST00000302558	cervus_elaphus	0	0	0	ENSG00000169629	RGPD8
43	ENST00000302609	cervus_elaphus	1e-10	2.8e-09	6.33273846153846e-07	ENSG00000175395	ZNF25
44	ENST00000303759	cervus_elaphus	8.7e-08	5.8258e-06	0.000634408042962963	ENSG00000170791	CHCHD7
45	ENST00000304623	cervus_elaphus	0	0	0	ENSG00000169862	CTNND2
46	ENST00000306318	cervus_elaphus	2.0964e-06	0.0001530362	0.0117789799801047	ENSG00000168505	GBX2
47	ENST00000307961	cervus_elaphus	6.8152e-06	0.0004634323	0.0313959366004608	ENSG00000174444	RPL4
48	ENST00000308020	cervus_elaphus	0	1.9e-09	4.43363492063492e-07	ENSG00000174915	PTDSS2
49	ENST00000309235	cervus_elaphus	0	1e-10	2.67290909090909e-08	ENSG00000173258	ZNF483
