Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
Erinaceus_europaeus_Sanger	1175	1175	1164	1159	1024	756	2720701264	2720701264	2720687264	2720653999	2718050564	2708243771	1164	210889723	2720687264	42.00	126757761	95287971	9	15	27.64
Erinaceus_europaeus_Broad2	5802	5802	2559	2045	1770	1663	2715703478	2715703478	2709454854	2705583874	2701480748	2697629261	3186	17429815	2711841657	41.53	3267260	1649127	248	541	14104.85
Erinaceus_europaeus_Broad1	847680	771929	75731	18699	507	63	2133117389	2066879886	664873857	259905613	19472995	5414065	160314	392637	971098796	41.13	7153	4315	45685	89382	0.00
Sorex_araneus_VGP	66	66	66	65	47	29	2406010873	2406010873	2406010873	2406000955	2405635066	2404986492	66	452700413	2406010873	43.24	374364821	216565905	3	6	537.98
Suncus_etruscus_VGP	148	148	143	131	108	70	2471683639	2471683639	2471667942	2471567885	2471160777	2469745763	145	208244741	2471675439	39.81	131952995	99890541	8	14	430.64
Solenodon_paradoxus_Broad	176618	22577	14072	12022	9115	6726	2109877870	2062807578	2044701388	2029881143	1981673732	1895673329	15892	4518367	2051806763	39.87	425252	177767	1231	3099	25.28
Talpa_occidentalis_MPI	3201	3201	2562	2033	839	69	2080972333	2080972333	2079208865	2075336368	2054925896	2029947366	2847	155735125	2080328243	41.89	119794413	103423330	8	12	109.66
Galemys_pyrenaicus_IBE	12306	3275	1469	1117	848	680	1828347170	1822166123	1817972561	1815584124	1811265490	1805352079	1874	36404611	1819516938	41.65	8555737	3836593	65	146	1495.92
Condylura_cristata_Broad	2040	2040	467	266	189	144	1769662895	1769662895	1766318581	1764918546	1763844726	1762011911	827	89887394	1767713640	41.54	55520359	35080050	13	24	4923.26
Uropsilus_gracilis_Broad	723835	103814	47328	35104	20757	10908	2112710047	1914657881	1792905057	1705763405	1471659153	1118879868	59453	675744	1839970050	39.99	67231	31321	7477	17485	44.83
Sorex_cinereus_Trent	497	497	497	497	435	365	2873555620	2873555620	2873555620	2873555620	2872356979	2870011701	497	91738812	2873555620	43.43	42400022	17400113	23	49	0.00
Cryptotis_parvus_NIH	39388	38273	34459	30863	22020	13069	2196365350	2195647555	2184794356	2158359884	2005110559	1685520253	36165	1631536	2191539156	42.79	112495	53654	5192	12261	0.00
Scalopus_aquaticus_Broad	640296	55714	30305	25869	18927	12364	2068871057	1901288684	1849728396	1817877759	1701908320	1463336420	34782	758314	1867122067	41.64	106858	56035	5184	11177	38.77
Crocidura_indochinensis_Broad	2415412	533455	120290	54248	11136	1505	3082217326	2402584627	1532259342	1070390752	417167120	98299390	199640	334926	1837639356	38.76	12307	6391	40587	92965	28.66
Sorex_palustris_Iridian	498345	397609	57986	10309	318	22	2300452624	2223653927	1458799351	1139025472	1006236000	997280813	137048	99508547	1761847645	43.73	33764336	6438	16	33650	13292.72
Solenodon_paradoxus_woodi_UPR	40482	40482	31912	27716	20179	13180	2049415269	2049415269	2028343025	1997595767	1871204344	1616982459	34588	919807	2038902213	39.87	111636	58362	5281	11556	13.07
Sorex_araneus_Broad	12845	12845	2172	1078	585	473	2423158183	2423158183	2404465319	2396748103	2389897034	2385054282	3663	60238417	2410424072	42.91	22794405	9970888	36	78	9584.55
