target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	313.499	90	39.572
NM_001281925.1	634	389.212	50.911	18.0305
NM_001285876.1	834	582.556	5.39464	1.27646
NM_001286187.1	1110	857.94	252.411	40.554
NM_001290408.1	830	578.672	79	18.8181
NM_001291139.1	4671	4418.94	110.5	3.44688
NM_001291140.1	4671	4418.94	110.5	3.44688
NM_001291520.1	4282	4029.94	323.988	11.0818
NM_001293736.1	2063	1810.94	177.375	13.5011
NM_001301748.1	4136	3883.94	1474.85	52.3428
XM_004600099.2	4960	4707.94	46	1.34682
XM_004600101.2	2089	1836.94	68.0338	5.10519
XM_004600104.2	2631	2378.94	219.734	12.732
XM_004600106.2	1814	1561.94	2296	202.623
XM_004600110.2	5382	5129.94	2148	57.717
XM_004600111.2	7707	7454.94	196.59	3.63496
XM_004600112.2	2780	2527.94	404	22.0291
XM_004600113.2	6730	6477.94	287.161	6.11041
XM_004600116.2	4584	4331.94	3853	122.602
XM_004600117.2	5632	5379.94	249	6.37975
XM_004600118.2	3291	3038.94	62	2.81223
XM_004600119.2	4040	3787.94	48.0725	1.74935
XM_004600122.3	1286	1033.94	200	26.6635
XM_004600124.2	2122	1869.94	1	0.0737147
XM_004600126.2	8802	8549.94	56.5535	0.911755
XM_004600127.2	8714	8461.94	441.446	7.191
XM_004600128.2	1680	1427.94	0	0
XM_004600129.2	3277	3024.94	206.797	9.42345
XM_004600134.2	3956	3703.94	1318	49.0494
XM_004600135.2	2791	2538.94	304.964	16.5569
XM_004600136.2	2646	2393.94	388	22.3409
XM_004600137.2	2111	1858.94	130.233	9.65687
XM_004600138.2	5001	4748.94	294.849	8.55826
XM_004600140.2	6744	6491.94	7.80919	0.165811
XM_004600145.3	7206	6953.94	207.997	4.12296
XM_004600146.2	4518	4265.94	35.3935	1.14364
XM_004600147.2	3462	3209.94	197.81	8.49443
XM_004600156.2	2914	2661.94	0	0
XM_004600157.2	8233	7980.94	55.9536	0.966398
XM_004600158.2	8206	7953.94	61.594	1.06743
XM_004600160.2	7984	7731.94	270.002	4.8135
XM_004600162.2	7895	7642.94	1914.45	34.5275
XM_004600163.2	822	570.787	0	0
