t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSG00000163956	ENST00000650182	reg_11341	ENST00000650182.7	one2one
ENSG00000111249	ENST00000261726	reg_9835	ENST00000261726.68	one2one
ENSG00000164167	ENST00000296581	reg_17246	ENST00000296581.27	one2one
ENSG00000164167	ENST00000649747	reg_17246	ENST00000649747.27	one2one
ENSG00000164167	ENST00000502781	reg_17246	ENST00000502781.27	one2one
ENSG00000112309	ENST00000230053	reg_12649	ENST00000230053.1	one2one
ENSG00000164061	ENST00000296452	reg_17042	ENST00000296452.5	one2one
ENSG00000126545	ENST00000507763	None	None	one2zero
ENSG00000126545	ENST00000505782	None	None	one2zero
ENSG00000126545	ENST00000507772	None	None	one2zero
ENSG00000126545	ENST00000246891	None	None	one2zero
ENSG00000189320	ENST00000415751	reg_10773	ENST00000415751.12	one2one
ENSG00000189320	ENST00000338588	reg_10773	ENST00000338588.12	one2one
ENSG00000243789	ENST00000397299	reg_4106	ENST00000397299.30	one2one
ENSG00000185304	ENST00000638730	reg_12961	ENST00000638730.727	many2one
ENSG00000185304	ENST00000398146	reg_12961	ENST00000398146.727	many2one
ENSG00000153201	ENST00000283195	reg_12961	ENST00000283195.212	many2one
ENSG00000196862	ENST00000408999	reg_12961	ENST00000408999.726	many2one
ENSG00000153165	ENST00000409886	reg_12961	ENST00000409886.719	many2one
ENSG00000153165	ENST00000304514	reg_12961	ENST00000304514.719	many2one
ENSG00000183054	ENST00000329516	reg_12961	ENST00000329516.716	many2one
ENSG00000169629	ENST00000302558	reg_12961	ENST00000302558.725	many2one
ENSG00000169629	ENST00000409750	reg_12961	ENST00000409750.725	many2one
ENSG00000187627	ENST00000409776	reg_12961	ENST00000409776.722	many2one
ENSG00000187627	ENST00000641458	reg_12961	ENST00000641458.722	many2one
ENSG00000187627	ENST00000398193	reg_12961	ENST00000398193.722	many2one
ENSG00000015568	ENST00000016946	reg_12961	ENST00000016946.1595	many2one
ENSG00000136944	ENST00000355497	reg_10378	ENST00000355497.6	one2one
ENSG00000136944	ENST00000373474	reg_10378	ENST00000373474.6	one2one
ENSG00000136944	ENST00000526117	reg_10378	ENST00000526117.6	one2one
ENSG00000197565	ENST00000545689	reg_5639	ENST00000545689.8	one2one
ENSG00000197565	ENST00000372216	reg_5639	ENST00000372216.8	one2one
ENSG00000197565	ENST00000538570	reg_5639	ENST00000538570.8	one2one
ENSG00000197565	ENST00000621266	reg_5639	ENST00000621266.8	one2one
ENSG00000197565	ENST00000394872	reg_5639	ENST00000394872.8	one2one
ENSG00000197565	ENST00000334504	reg_5639	ENST00000334504.8	one2one
ENSG00000043355	ENST00000376335	reg_13771	ENST00000376335.13	one2one
ENSG00000007516	ENST00000426824	reg_12164	ENST00000426824.55	one2one
ENSG00000007516	ENST00000562208	reg_12164	ENST00000562208.55	one2one
ENSG00000007516	ENST00000324385	reg_12164	ENST00000324385.55	one2one
ENSG00000007516	ENST00000421665	reg_12164	ENST00000421665.55	one2one
ENSG00000007516	ENST00000568887	reg_12164	ENST00000568887.55	one2one
ENSG00000007516	ENST00000397488	reg_12164	ENST00000397488.55	one2one
ENSG00000007516	ENST00000628027	reg_12164	ENST00000628027.55	one2one
ENSG00000162490	ENST00000294485	reg_4432	ENST00000294485.23	one2one
ENSG00000157184	ENST00000637252	reg_11061	ENST00000637252.9	one2one
ENSG00000157184	ENST00000636867	reg_11061	ENST00000636867.9	one2one
ENSG00000157184	ENST00000636891	reg_11061	ENST00000636891.9	one2one
ENSG00000157184	ENST00000371486	reg_11061	ENST00000371486.9	one2one
ENSG00000157184	ENST00000635862	reg_11061	ENST00000635862.9	one2one
ENSG00000154025	ENST00000395647	reg_16695	ENST00000395647.123	one2one
ENSG00000154025	ENST00000317977	reg_16695	ENST00000317977.123	one2one
ENSG00000154025	ENST00000417251	reg_16695	ENST00000417251.123	one2one
ENSG00000154025	ENST00000395645	reg_16695	ENST00000395645.123	one2one
ENSG00000154025	ENST00000395643	reg_16695	ENST00000395643.123	one2one
ENSG00000122958	ENST00000373382	reg_5227	ENST00000373382.50	one2one
ENSG00000122958	ENST00000263559	reg_5227	ENST00000263559.50	one2one
ENSG00000179085	ENST00000368400	reg_5019	ENST00000368400.59	one2one
ENSG00000179085	ENST00000368399	reg_5019	ENST00000368399.59	one2one
